Category,Genres,Director,Popularity,Winner
1,74,540,16.7,False
6,56,734,77.9,False
8,203,537,9.6,False
3,203,304,2.2,True
7,149,186,18.2,True
2,96,112,30.4,False
0,149,429,11.0,True
4,149,475,20.6,False
3,142,656,20.3,True
6,157,474,7.0,False
3,55,365,22.7,False
4,76,622,12.4,False
5,95,18,38.4,False
6,74,150,63.2,False
7,157,186,8.6,True
4,203,304,2.2,False
5,142,683,9.8,True
0,165,150,57.8,False
8,149,468,10.9,False
7,88,245,9.0,True
5,194,536,29.2,True
6,71,762,8.9,False
1,74,174,2.1,False
0,5,254,147.7,False
4,99,235,26.3,False
3,136,72,20.0,False
6,102,632,55.9,False
4,177,533,26.1,False
7,202,509,40.8,False
3,19,165,62.8,False
6,121,233,4.2,False
8,139,628,18.9,True
5,88,578,3.9,True
8,136,762,7.5,False
0,156,96,17.3,False
6,76,59,27.2,True
4,203,391,6.3,False
5,196,423,24.0,False
4,241,413,13.5,False
1,136,132,6.6,False
5,102,213,10.3,False
0,95,268,14.8,False
6,48,381,15.0,False
0,203,683,7.1,False
4,96,528,3.3,True
3,212,42,21.6,True
7,187,358,10.4,False
1,88,478,3.9,False
1,80,255,6.6,False
1,142,358,9.8,False
7,198,460,56.7,False
8,192,68,23.2,True
8,125,231,17.7,False
7,142,378,17.0,False
8,81,345,13.0,False
0,149,427,2.6,False
6,54,153,22.9,True
8,203,173,9.9,False
1,95,702,11.0,False
3,203,511,2.6,False
2,203,719,26.7,False
7,142,192,78.8,True
8,39,727,10.2,False
1,203,419,5.0,False
0,149,752,2.1,False
0,102,502,20.4,True
4,3,569,30.4,False
3,125,529,2.9,False
0,217,475,23.9,True
8,216,695,35.5,False
6,189,276,3.5,False
4,136,370,11.1,False
7,178,683,29.6,False
6,203,439,7.9,False
3,102,502,20.4,False
5,101,613,14.6,True
7,149,467,8.1,False
0,74,380,0.8,False
1,102,508,16.0,False
6,203,378,9.3,False
3,154,276,6.1,False
1,175,728,0.8,False
3,51,586,36.2,False
2,90,591,47.0,False
3,34,573,14.0,False
3,37,598,12.1,False
5,189,77,12.6,False
0,73,64,10.5,True
3,141,142,30.7,True
5,121,239,10.4,False
3,203,245,9.2,True
3,48,638,18.4,True
7,209,147,1.4,True
0,108,745,4.0,False
3,76,517,13.1,False
6,96,528,3.3,False
4,168,72,24.3,False
3,191,552,12.4,False
5,178,633,8.1,False
6,76,722,32.7,True
3,73,30,24.7,False
8,81,589,23.6,False
3,134,621,29.4,False
1,215,459,9.0,False
6,149,56,29.2,True
6,95,206,13.3,False
3,196,278,5.7,False
4,216,19,39.0,True
3,76,245,20.6,False
6,90,239,19.9,True
6,74,77,9.7,False
1,102,210,4.0,False
8,76,695,20.9,False
5,103,2,33.1,False
4,193,273,7.6,False
6,90,440,9.4,False
6,134,203,176.2,True
7,95,683,13.6,False
8,76,692,42.4,True
2,198,181,255.2,False
3,149,552,7.7,False
6,76,695,108.1,True
3,203,627,3.7,False
8,71,519,11.8,False
4,3,609,148.8,False
3,216,695,35.5,True
0,202,509,40.8,True
7,102,295,1.4,False
3,191,3,22.3,False
7,83,218,10.0,False
4,203,378,9.3,False
4,102,394,6.8,True
0,74,68,7.8,False
6,106,101,25.3,False
7,199,203,61.2,False
0,156,231,19.2,True
5,95,13,35.7,True
0,203,78,8.2,False
6,193,58,26.6,False
3,29,241,13.4,False
1,203,658,4.2,True
8,79,276,9.2,False
6,34,573,14.0,False
6,177,1,24.4,False
6,218,434,19.7,False
0,76,722,32.7,True
6,203,180,5.3,False
