antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Best Adapted Screenplay'}),frozenset({'Best Supporting Actor'}),0.1356397583745195,0.22679846238330587,0.040087863811092805,0.29554655870445345,1.3031241728833167,1.0,0.009324975173708647,1.097590688455882,0.2691162904039964,0.12436115843270867,0.08891355355171149,0.23615100332317104
frozenset({'Best Supporting Actor'}),frozenset({'Best Adapted Screenplay'}),0.22679846238330587,0.1356397583745195,0.040087863811092805,0.17675544794188863,1.3031241728833165,1.0,0.009324975173708647,1.049943469974481,0.3008444894146949,0.12436115843270867,0.047567770458817785,0.23615100332317104
frozenset({'Best Supporting Actress'}),frozenset({'Best Adapted Screenplay'}),0.2213069741900055,0.1356397583745195,0.043382756727073035,0.19602977667493796,1.445223576214826,1.0,0.013364732221344666,1.0751147449847798,0.3956187177518701,0.13835376532399296,0.06986672384057306,0.25793391667754995
frozenset({'Best Adapted Screenplay'}),frozenset({'Best Supporting Actress'}),0.1356397583745195,0.2213069741900055,0.043382756727073035,0.3198380566801619,1.4452235762148258,1.0,0.013364732221344666,1.1448641510420752,0.35640873047786004,0.13835376532399296,0.1265339218720556,0.25793391667754995
frozenset({'Best Cinematography'}),frozenset({'Best Director'}),0.34925864909390447,0.2591982427237781,0.11916529379461833,0.3411949685534591,1.3163475375759515,1.0,0.028638065693397635,1.1244628105672485,0.36930525578953505,0.2435465768799102,0.11068646236905046,0.40047036563266175
frozenset({'Best Director'}),frozenset({'Best Cinematography'}),0.2591982427237781,0.34925864909390447,0.11916529379461833,0.4597457627118644,1.3163475375759512,1.0,0.028638065693397635,1.2045094808928514,0.32440824915537364,0.2435465768799102,0.16978652649645995,0.40047036563266175
frozenset({'Best Cinematography'}),frozenset({'Best Picture'}),0.34925864909390447,0.31466227347611203,0.13618890719384955,0.389937106918239,1.2392242088972307,1.0,0.026290386638765928,1.1233886445082288,0.2966516945692119,0.2580645161290323,0.10983611514271893,0.4113734400210741
frozenset({'Best Picture'}),frozenset({'Best Cinematography'}),0.31466227347611203,0.34925864909390447,0.13618890719384955,0.4328097731239093,1.2392242088972307,1.0,0.026290386638765928,1.1473070586744394,0.28167648883374685,0.2580645161290323,0.12839375262332384,0.4113734400210741
frozenset({'Best Director'}),frozenset({'Best Original Screenplay'}),0.2591982427237781,0.19769357495881384,0.07193849533223504,0.27754237288135597,1.4039018361581923,1.0,0.020696668105128983,1.1105238493238707,0.3883623153141429,0.18687589158345222,0.09952406640448268,0.32071563088512245
frozenset({'Best Original Screenplay'}),frozenset({'Best Director'}),0.19769357495881384,0.2591982427237781,0.07193849533223504,0.3638888888888889,1.403901836158192,1.0,0.020696668105128983,1.164579181744279,0.3585905293352353,0.18687589158345222,0.14132073140597975,0.32071563088512245
