Popularity,Vote_Average,IMDb_Rating
6.3,6.9,7.7
4.2,6.5,6.9
61.7,7.7,8.0
5.3,6.6,7.0
3.3,6.0,6.3
52.1,7.5,7.7
18.3,6.8,7.3
9.3,6.7,7.0
3.6,6.4,6.8
7.8,6.7,6.7
1.4,6.5,6.9
6.9,7.2,7.6
9.8,7.2,7.6
21.3,7.1,7.1
34.0,7.7,7.9
9.0,6.2,6.4
13.4,6.4,6.6
44.5,7.4,7.9
15.3,6.6,7.3
8.2,6.8,7.2
4.4,5.2,5.6
15.1,6.7,6.8
12.6,6.8,7.2
37.1,7.2,7.3
38.9,7.5,7.8
22.9,7.9,8.1
14.8,7.1,7.4
12.7,7.7,8.0
7.2,6.9,7.2
26.8,7.2,7.4
10.9,7.2,7.6
6.1,6.8,7.7
93.3,8.0,8.3
14.8,7.1,7.4
10.5,7.0,7.4
4.3,6.9,7.0
29.6,8.0,8.2
27.3,8.1,8.1
5.3,6.4,7.0
17.7,8.1,8.2
26.7,7.7,7.8
10.2,7.2,7.2
13.3,6.9,7.4
17.1,6.8,7.2
36.0,7.9,8.0
1.9,5.3,6.2
13.8,6.6,6.8
4.9,6.1,6.6
12.4,6.9,7.1
2.6,6.9,7.2
7.8,7.0,7.3
25.3,7.4,7.8
5.6,7.2,7.2
8.9,7.2,7.4
183.2,8.2,8.2
62.0,7.2,7.5
30.6,6.5,6.8
15.6,6.4,6.4
37.6,7.4,7.8
19.0,6.2,5.9
4.2,6.3,7.4
63.9,8.3,8.1
21.2,7.7,8.1
18.0,7.0,7.1
23.8,7.8,8.1
57.2,7.9,8.1
7.8,7.0,7.3
24.3,8.3,8.4
5.6,6.8,7.6
26.0,7.8,7.7
14.7,7.5,7.8
18.6,7.1,7.6
12.5,7.3,7.8
16.2,7.0,7.2
8.4,6.8,7.2
4.9,6.3,6.9
20.9,6.9,7.1
29.2,7.1,7.3
29.0,8.0,8.1
24.7,7.6,7.9
8.8,7.1,7.6
69.7,7.7,8.1
21.7,7.3,7.5
13.3,7.3,7.6
5.9,7.1,7.4
23.3,6.9,7.1
9.5,6.6,6.9
3.4,6.0,6.9
81.8,8.2,8.3
8.1,7.4,7.5
5.9,6.5,6.8
13.9,7.3,7.5
2.6,6.6,7.3
16.6,6.8,6.9
13.3,6.9,7.4
18.9,7.6,7.6
40.1,8.1,8.2
24.3,8.3,8.4
14.4,6.2,6.7
20.9,7.0,7.5
11.4,7.9,7.9
6.1,6.8,7.7
7.3,6.7,7.0
113.5,8.2,8.1
19.1,7.9,8.1
8.5,7.0,7.3
21.0,7.3,7.4
6.7,6.0,6.8
44.1,7.9,8.2
25.3,8.3,8.4
15.6,7.8,7.9
2.2,6.6,7.4
78.7,8.5,9.0
23.4,6.9,7.2
9.7,7.2,7.6
3.5,6.3,6.0
12.0,7.8,8.1
0.9,2.0,5.6
13.6,7.5,8.0
32.0,6.8,7.1
22.9,7.0,7.0
24.4,7.7,7.7
2.3,6.7,7.2
4.2,6.5,6.9
9.0,6.9,7.2
23.9,7.4,7.7
11.2,7.3,7.9
5.2,6.7,7.0
6.1,6.8,7.7
11.6,6.7,7.0
21.2,7.2,7.7
44.1,7.9,8.2
57.2,7.9,8.1
7.1,6.3,7.5
176.2,8.7,9.2
3.4,6.4,5.9
10.6,6.8,7.3
13.5,6.5,7.1
29.2,7.1,7.3
8.3,6.9,7.3
26.2,7.1,7.4
15.9,7.6,7.7
15.1,7.1,7.4
60.6,7.4,7.3
11.8,6.7,7.2
6.9,6.2,6.5
24.7,7.0,7.5
17.8,7.0,7.2
33.1,8.0,8.3
24.7,7.0,7.2
4.5,6.5,7.5
3.8,6.3,7.1
24.7,7.6,7.9
23.9,7.4,7.7
122.5,8.0,8.2
8.5,6.4,6.6
35.7,7.8,7.8
24.6,6.0,5.5
16.6,6.8,6.9
38.2,7.5,7.6
7.9,7.2,7.5
1.3,6.0,6.6
11.4,6.4,6.8
130.7,8.1,8.3
167.1,8.5,9.0
15.6,7.5,7.9
9.5,6.9,7.2
21.9,7.3,7.6
26.6,7.6,7.6
9.8,7.2,7.6
81.4,8.1,8.3
8.3,6.3,6.5
23.6,7.6,7.5
18.1,7.5,7.8
9.2,7.3,7.7
5.6,7.7,7.6
62.8,7.8,8.2
15.1,7.0,7.2
23.9,6.8,7.0
2.0,5.3,6.4
11.4,7.9,7.9
11.0,6.4,7.0
9.2,6.8,7.0
6.8,6.5,7.0
6.6,6.8,7.1
13.6,7.6,7.6
56.7,8.0,8.2
4.7,6.7,6.8
20.5,7.8,7.7
71.5,8.0,8.1
12.6,6.8,7.2
12.2,7.5,8.0
10.9,7.2,7.6
43.1,7.2,7.1
24.8,7.1,7.1
27.5,7.6,8.0
7.9,6.5,7.0
9.3,6.7,7.1
9.9,7.2,7.5
24.7,7.0,7.5
23.6,7.0,7.1
22.9,7.9,8.1
5.3,7.1,7.2
9.8,5.6,5.8
16.0,6.6,6.8
3.1,5.5,6.4
10.6,6.8,7.3
44.5,7.4,7.9
16.1,5.6,5.6
30.4,6.2,6.9
9.8,7.0,7.6
9.5,6.6,6.9
18.5,7.6,8.0
8.1,6.3,7.2
4.0,6.2,6.6
5.2,4.5,4.6
38.4,7.1,7.7
14.4,6.2,6.7
26.7,7.5,7.2
77.0,7.6,7.9
44.5,7.7,8.1
23.9,7.3,7.5
4.5,5.6,7.8
8.1,5.9,5.9
19.5,7.2,7.5
7.1,6.7,7.0
1.1,5.5,6.2
6.6,7.1,7.7
31.9,7.2,7.2
4.0,6.4,6.9
27.5,7.6,8.0
77.9,8.2,8.4
15.6,7.7,8.0
9.2,7.0,7.6
23.7,7.0,7.0
14.6,6.8,7.2
51.3,7.8,8.1
10.2,6.8,7.3
6.1,6.5,6.7
12.4,6.7,7.1
25.2,7.3,7.5
7.2,7.2,7.3
13.0,6.9,7.2
14.8,7.0,7.5
12.8,7.4,7.8
23.9,7.4,7.7
14.3,7.1,7.4
34.3,7.4,7.7
10.3,7.0,7.3
15.1,7.1,7.4
24.0,7.2,7.4
14.7,7.5,7.8
28.3,6.8,7.3
8.1,6.7,7.2
22.9,8.2,8.3
42.4,7.9,8.1
29.2,8.0,8.3
20.6,7.3,7.4
4.9,7.3,7.4
9.8,7.0,7.6
13.0,7.0,7.3
5.6,7.2,7.2
25.7,7.8,8.2
41.7,7.5,7.6
12.6,6.8,7.2
46.6,7.9,8.0
30.6,7.5,7.6
1.8,6.7,7.3
15.6,7.8,7.9
10.3,6.7,6.9
5.1,6.2,6.6
7.0,7.4,7.5
19.8,7.5,7.8
27.1,6.9,7.2
5.8,6.9,6.5
5.8,7.0,7.2
18.1,7.5,7.8
25.9,6.9,7.2
24.9,7.5,7.9
1.1,6.5,6.8
3.5,6.2,7.0
127.9,8.5,8.8
91.7,7.8,7.9
15.8,7.2,7.5
25.4,7.4,7.9
9.8,5.6,5.8
18.5,7.4,7.7
39.7,7.4,7.5
19.9,8.0,8.3
54.3,7.7,7.8
24.3,6.9,7.2
7.9,7.2,7.8
9.2,6.6,6.9
165.4,7.9,7.9
6.7,6.6,7.3
7.5,7.2,7.7
69.7,7.7,8.1
768.0,7.0,7.8
12.5,7.3,7.8
5.9,6.0,6.6
1.6,6.2,6.1
148.8,8.2,8.5
117.2,8.2,8.6
8.4,6.0,6.4
11.0,7.4,7.6
2.9,6.3,5.7
13.2,7.2,7.4
50.9,7.8,7.7
15.7,6.8,7.1
2.9,5.9,6.7
19.0,7.7,8.0
19.5,7.1,7.2
9.2,7.0,7.6
24.2,7.0,7.2
26.9,7.3,7.5
18.8,7.3,7.7
768.0,7.0,7.8
16.6,6.8,6.9
9.8,6.6,7.3
12.0,6.5,6.9
27.9,7.0,7.1
14.0,7.4,7.8
9.7,7.1,7.7
8.7,5.9,5.9
12.1,6.2,6.2
13.3,7.1,7.1
6.4,6.8,7.3
5.4,6.8,7.1
43.9,7.8,8.0
20.0,7.5,7.8
24.4,7.7,7.7
11.9,6.0,7.1
11.4,6.9,7.2
3.8,5.8,6.7
15.7,7.2,7.5
165.4,7.9,7.9
3.3,6.0,6.3
8.6,7.3,7.7
11.3,7.0,7.2
20.9,6.9,7.1
2.2,6.6,7.4
4.4,6.6,7.1
10.0,7.1,7.4
12.4,6.9,7.4
7.7,6.8,7.0
108.1,8.6,9.0
10.2,6.4,6.6
5.3,7.0,7.4
16.7,7.9,8.1
7.7,6.8,7.7
19.2,7.5,7.7
2.9,6.3,5.7
22.9,7.9,8.1
13.6,7.0,7.2
20.2,7.5,7.7
19.3,7.8,8.1
13.9,7.4,7.7
70.7,8.1,8.2
7.3,6.6,6.9
19.0,7.4,7.5
18.3,7.7,8.0
20.6,6.4,6.6
13.2,6.7,7.1
8.9,7.0,7.6
15.5,7.3,7.7
17.1,7.0,7.2
74.1,7.5,8.0
12.6,7.1,7.4
46.9,8.0,8.1
8.6,7.2,7.7
30.4,7.2,7.5
8.8,7.1,7.6
1.3,4.5,5.4
1.6,4.7,5.9
77.5,7.7,7.8
30.2,7.4,7.4
7.1,6.2,6.3
34.2,7.4,7.7
23.1,7.3,7.5
18.4,7.4,7.4
35.3,7.4,7.7
13.0,7.1,7.1
12.2,7.6,7.9
8.3,6.6,7.1
24.7,6.8,6.9
25.3,8.3,8.4
2.1,6.4,6.4
2.3,5.9,6.4
19.2,7.5,7.8
61.7,7.7,8.0
4.9,6.3,6.9
7.3,6.6,7.3
18.0,7.8,8.1
11.9,7.5,7.9
5.3,7.1,7.2
5.7,6.1,6.5
11.8,6.8,7.2
20.6,7.3,7.4
19.2,6.8,6.8
17.1,6.8,7.2
20.0,7.5,7.7
11.1,6.5,6.8
46.9,8.0,8.1
18.5,7.6,7.8
7.3,6.9,7.2
4.9,6.1,6.0
63.5,7.7,8.0
10.2,5.9,6.5
19.8,6.9,7.2
18.5,7.6,7.8
24.9,7.9,7.9
7.2,6.9,7.2
13.5,7.0,7.6
3.8,7.2,7.5
29.0,8.0,8.1
9.8,7.2,7.6
17.7,7.6,7.8
4.0,6.8,7.4
32.7,7.7,8.0
8.9,6.6,7.1
14.0,6.7,7.0
11.6,7.3,7.5
5.8,7.2,7.7
23.9,6.8,7.0
77.9,7.6,8.1
8.7,6.9,7.3
12.0,6.4,6.8
29.8,7.9,8.2
25.4,7.4,7.9
6.8,6.6,7.0
29.2,7.8,8.0
8.1,6.4,7.0
