Winner,Popularity,Vote_Average,IMDb_Rating
False,35.7,7.8,7.8
False,35.7,7.8,7.8
False,35.7,7.8,7.8
False,10.7,7.0,7.5
False,10.7,7.0,7.5
False,30.4,6.2,6.9
False,30.4,6.2,6.9
False,30.4,6.2,6.9
False,30.4,6.2,6.9
False,19.2,7.2,7.5
False,19.2,7.2,7.5
False,19.2,7.2,7.5
False,19.2,7.2,7.5
False,19.2,7.2,7.5
False,3.2,6.4,6.3
False,8.7,7.1,7.3
False,8.7,7.1,7.3
False,8.7,7.1,7.3
False,8.7,7.1,7.3
False,79.2,8.3,8.5
True,2.3,5.9,6.4
False,2.3,5.9,6.4
False,8.8,7.4,7.7
False,9.2,8.0,8.0
False,4.9,6.1,6.9
False,4.6,6.6,6.8
False,109.2,7.0,6.8
False,109.2,7.0,6.8
False,109.2,7.0,6.8
False,109.2,7.0,6.8
False,12.4,6.9,6.7
False,9.0,7.1,7.0
True,26.3,8.0,8.1
False,26.3,8.0,8.1
False,26.3,8.0,8.1
False,26.3,8.0,8.1
False,13.8,7.5,7.6
False,59.5,7.7,8.2
False,28.6,5.4,5.4
False,9.8,6.7,7.4
True,9.8,6.7,7.4
False,9.8,6.7,7.4
False,9.8,6.7,7.4
False,12.6,6.8,7.2
False,12.6,6.8,7.2
False,12.6,6.8,7.2
False,12.6,6.8,7.2
False,6.2,7.0,7.5
False,99.4,7.7,8.0
False,7.8,7.1,7.8
False,7.8,7.1,7.8
False,7.8,7.1,7.8
False,7.8,7.1,7.8
False,7.8,7.1,7.8
False,7.8,7.1,7.8
False,2.4,5.6,5.8
False,15.6,7.5,7.9
False,10.0,6.6,7.1
False,23.8,7.8,8.1
True,9.3,6.8,7.2
False,26.4,7.4,7.7
False,26.4,7.4,7.7
False,26.4,7.4,7.7
False,10.3,6.5,7.0
False,11.0,6.5,6.5
False,11.0,6.5,6.5
False,11.0,6.5,6.5
False,13.6,7.6,8.0
True,13.6,7.6,8.0
False,17.9,7.1,7.2
False,17.9,7.1,7.2
False,17.9,7.1,7.2
False,17.9,7.1,7.2
True,17.9,7.1,7.2
True,57.2,7.9,8.1
True,57.2,7.9,8.1
True,57.2,7.9,8.1
True,57.2,7.9,8.1
True,57.2,7.9,8.1
False,4.9,5.8,5.7
False,1.4,5.6,6.5
False,2.8,6.0,6.9
False,29.9,7.2,7.4
False,26.9,7.2,7.3
False,26.9,7.2,7.3
False,5.4,7.3,7.8
False,20.0,7.6,7.7
False,20.0,7.6,7.7
False,20.0,7.6,7.7
False,2.9,4.7,5.7
False,15.8,7.5,7.8
False,15.8,7.5,7.8
False,15.8,7.5,7.8
False,15.8,7.5,7.8
False,35.7,7.5,7.7
False,35.7,7.5,7.7
False,35.7,7.5,7.7
True,35.7,7.5,7.7
True,35.7,7.5,7.7
True,35.7,7.5,7.7
True,35.7,7.5,7.7
False,1.8,5.8,5.7
False,11.6,7.2,7.4
False,4.1,6.4,6.4
False,54.0,7.4,7.7
False,54.0,7.4,7.7
True,12.8,7.5,7.7
False,84.1,7.4,7.3
False,80.2,7.1,6.7
True,61.7,7.7,8.0
False,61.7,7.7,8.0
False,61.7,7.7,8.0
False,61.7,7.7,8.0
False,9.8,6.9,7.4
False,20.8,7.5,7.5
False,20.8,7.5,7.5
False,20.8,7.5,7.5
True,20.8,7.5,7.5
True,153.5,7.6,8.0
False,3.4,6.2,6.0
False,21.2,7.2,7.7
False,24.6,6.0,5.5
True,6.0,6.4,6.8
False,36.4,7.5,8.0
False,36.4,7.5,8.0
False,1.6,5.9,6.2
False,3.9,6.5,6.9
False,3.9,6.5,6.9
False,11.9,7.3,7.5
False,11.9,7.3,7.5
True,14.0,7.0,7.3
False,14.0,7.0,7.3
False,14.0,7.0,7.3
True,11.8,6.1,6.4
False,37.9,7.0,7.3
False,38.2,7.6,7.7
False,10.7,6.2,6.9
False,10.7,6.2,6.9
False,10.7,6.2,6.9
False,6.7,6.7,7.6
False,6.7,6.7,7.6
True,50.0,8.0,7.9
False,50.0,8.0,7.9
False,19.2,6.8,6.8
False,19.2,6.8,6.8
False,23.9,7.5,7.8
False,23.9,7.5,7.8
False,23.9,7.5,7.8
False,23.9,7.5,7.8
True,23.9,7.5,7.8
True,23.9,7.5,7.8
False,23.9,7.5,7.8
False,23.9,7.5,7.8
False,23.9,7.5,7.8
False,24.7,7.6,7.9
False,24.7,7.6,7.9
False,24.7,7.6,7.9
False,5.2,6.9,7.0
False,22.4,6.8,7.4
False,25.0,6.4,6.6
False,25.0,6.4,6.6
False,16.8,7.0,7.2
False,16.8,7.0,7.2
True,16.8,7.0,7.2
False,16.8,7.0,7.2
False,16.8,7.0,7.2
True,9.5,7.2,7.5
False,9.5,7.2,7.5
False,9.5,7.2,7.5
True,5.5,6.8,7.3
False,5.5,6.8,7.3
False,21.9,7.5,7.9
True,21.9,7.5,7.9
False,21.9,7.5,7.9
False,21.9,7.5,7.9
False,21.9,7.5,7.9
True,14.4,7.4,7.5
False,14.4,7.4,7.5
True,7.7,6.7,7.2
False,7.7,6.7,7.2
False,7.7,6.7,7.2
False,29.3,7.6,7.8
False,29.3,7.6,7.8
True,85.7,7.9,8.3
True,85.7,7.9,8.3
True,85.7,7.9,8.3
False,85.7,7.9,8.3
False,24.4,7.7,7.8
False,8.6,7.1,7.8
False,27.3,7.7,7.6
False,9.4,7.1,7.7
False,9.4,7.1,7.7
False,9.4,7.1,7.7
True,9.4,7.1,7.7
False,15.9,7.5,7.8
False,30.6,6.5,6.8
False,30.6,6.5,6.8
True,21.2,7.2,7.6
False,21.2,7.2,7.6
False,21.2,7.2,7.6
False,48.9,6.7,6.8
False,12.7,7.7,8.0
False,12.7,7.7,8.0
False,2.0,6.9,7.3
False,10.7,6.7,7.3
False,10.7,6.7,7.3
False,10.7,6.7,7.3
False,10.7,6.7,7.3
False,10.7,6.7,7.3
False,10.7,6.7,7.3
False,7.3,7.2,7.4
False,7.3,7.2,7.4
False,3.1,6.4,6.7
False,50.9,7.8,7.7
False,50.9,7.8,7.7
False,50.9,7.8,7.7
False,50.9,7.8,7.7
True,50.9,7.8,7.7
False,50.9,7.8,7.7
True,50.9,7.8,7.7
False,15.8,6.7,7.1
False,15.8,6.7,7.1
False,9.3,6.3,6.9
False,21.7,7.3,7.5
False,21.7,7.3,7.5
False,21.7,7.3,7.5
False,11.2,7.1,7.1
False,12.0,6.4,6.8
False,12.0,6.4,6.8
False,12.0,6.4,6.8
False,12.0,6.4,6.8
False,12.0,6.4,6.8
False,12.0,6.4,6.8
False,12.0,6.4,6.8
False,13.5,6.6,7.0
False,1.5,6.5,6.3
False,10.0,7.1,7.4
False,10.0,7.1,7.4
True,10.0,7.1,7.4
False,10.0,7.1,7.4
False,10.0,7.1,7.4
False,12.8,6.3,6.8
False,10.6,6.1,6.4
True,22.9,7.6,8.0
False,22.9,7.6,8.0
False,22.9,7.6,8.0
True,7.4,6.3,6.4
False,7.4,6.3,6.4
True,5.6,6.8,7.2
False,5.6,6.8,7.2
True,12.8,7.4,7.8
True,12.8,7.4,7.8
True,12.8,7.4,7.8
True,12.8,7.4,7.8
False,12.8,7.4,7.8
True,8.8,7.1,7.2
False,8.6,7.1,7.6
False,8.6,7.1,7.6
True,6.9,5.8,6.2
False,6.9,5.8,6.2
False,67.3,8.1,7.8
False,67.3,8.1,7.8
True,67.3,8.1,7.8
False,6.4,6.2,6.6
False,7.1,7.0,7.3
False,10.4,6.8,7.3
False,9.6,6.8,7.1
False,9.6,6.8,7.1
False,9.6,6.8,7.1
False,20.7,7.3,7.3
False,20.7,7.3,7.3
True,10.5,7.0,7.3
False,10.5,7.0,7.3
False,10.5,7.0,7.3
False,10.5,7.0,7.3
False,10.5,7.0,7.3
False,14.0,7.2,7.7
False,14.0,7.2,7.7
False,31.0,7.9,7.8
False,5.0,6.5,7.0
False,25.6,7.5,7.8
False,25.6,7.5,7.8
False,25.6,7.5,7.8
True,11.9,7.5,7.9
False,11.9,7.5,7.9
False,2.9,6.5,6.4
False,1.4,6.5,6.9
False,7.2,6.0,6.7
False,10.8,6.6,7.0
False,26.7,7.5,7.2
False,26.7,7.5,7.2
False,26.7,7.5,7.2
False,26.7,7.5,7.2
False,26.5,7.3,7.4
False,26.5,7.3,7.4
False,31.1,8.2,8.5
False,31.1,8.2,8.5
False,31.1,8.2,8.5
True,31.1,8.2,8.5
False,6.7,6.3,6.6
False,33.0,8.0,8.2
False,48.0,7.7,7.8
True,11.4,6.4,6.8
False,12.7,7.7,7.9
False,12.7,7.7,7.9
False,12.7,7.7,7.9
False,12.7,7.7,7.9
False,12.7,7.7,7.9
False,71.5,8.0,8.1
False,12.8,6.5,6.6
False,5.9,5.5,5.8
True,5.9,5.5,5.8
True,5.9,5.5,5.8
False,17.6,8.1,8.0
False,6.7,6.6,7.3
False,6.7,6.6,7.3
False,6.7,6.6,7.3
False,21.7,7.6,7.7
False,21.7,7.6,7.7
False,19.0,7.4,7.5
False,0.8,5.7,6.0
False,17.6,6.8,7.1
False,17.6,6.8,7.1
True,17.6,6.8,7.1
True,17.6,6.8,7.1
False,18.0,6.5,7.0
True,6.8,6.5,7.0
False,9.0,6.7,6.7
False,19.5,7.1,7.2
False,19.5,7.1,7.2
False,19.5,7.1,7.2
True,19.5,7.1,7.2
False,19.5,7.1,7.2
False,19.5,7.1,7.2
True,19.5,7.1,7.2
False,19.5,7.1,7.2
False,9.5,6.9,7.2
True,9.5,6.9,7.2
False,9.5,6.9,7.2
False,9.5,6.9,7.2
False,9.5,6.9,7.2
False,36.5,7.6,7.9
False,36.5,7.6,7.9
False,10.9,8.1,8.3
False,29.8,7.9,8.2
False,29.8,7.9,8.2
False,29.8,7.9,8.2
False,29.8,7.9,8.2
False,29.8,7.9,8.2
True,29.8,7.9,8.2
False,15.1,7.0,7.2
False,15.1,7.0,7.2
False,15.1,7.0,7.2
False,15.1,7.0,7.2
False,9.8,5.6,5.8
False,9.8,5.6,5.8
False,9.8,5.6,5.8
False,9.8,5.6,5.8
True,9.8,5.6,5.8
False,2.9,6.8,6.8
False,22.7,7.6,8.0
False,29.2,8.0,8.3
False,29.2,8.0,8.3
False,29.2,8.0,8.3
True,29.2,8.0,8.3
False,47.0,8.4,8.6
False,47.0,8.4,8.6
False,47.0,8.4,8.6
True,13.4,6.4,6.8
False,4.8,7.0,7.1
True,8.2,6.0,6.8
False,8.2,6.0,6.8
False,29.7,7.0,7.0
True,29.7,7.0,7.0
False,29.7,7.0,7.0
False,35.5,7.4,7.6
True,35.5,7.4,7.6
False,35.5,7.4,7.6
False,24.3,6.8,7.2
False,24.3,6.8,7.2
True,11.6,7.3,7.5
False,11.6,7.3,7.5
False,11.6,7.3,7.5
False,11.6,7.3,7.5
True,14.8,6.6,6.7
True,36.0,7.9,8.0
True,36.0,7.9,8.0
True,36.0,7.9,8.0
False,24.3,6.9,7.2
True,24.3,6.9,7.2
False,24.3,6.9,7.2
False,12.4,7.4,7.5
False,12.4,7.4,7.5
False,30.6,7.2,7.5
True,6.2,6.8,6.9
True,2.6,7.4,7.5
False,2.6,7.4,7.5
False,1.4,7.0,6.9
False,3.8,6.3,7.1
False,3.8,6.3,7.1
False,3.8,6.3,7.1
False,3.8,6.3,7.1
False,4.3,6.0,6.3
True,10.4,7.0,7.3
False,10.4,7.0,7.3
True,10.4,7.0,7.3
False,10.4,7.0,7.3
False,10.4,7.0,7.3
False,10.4,7.0,7.3
True,10.4,7.0,7.3
False,255.2,7.1,7.4
False,255.2,7.1,7.4
False,255.2,7.1,7.4
False,255.2,7.1,7.4
False,2.1,6.4,6.4
False,3.1,6.6,6.5
False,21.2,7.7,8.1
True,21.2,7.7,8.1
True,4.2,5.6,5.5
False,2.1,6.2,6.5
False,2.9,6.4,6.6
False,3.6,6.2,6.6
False,3.6,6.2,6.6
False,6.5,6.4,6.7
False,24.3,7.2,7.7
False,24.3,7.2,7.7
True,24.3,7.2,7.7
True,24.3,7.2,7.7
True,11.9,6.9,7.2
False,11.9,6.9,7.2
False,55.9,7.4,7.6
True,11.8,7.9,8.1
False,11.8,7.9,8.1
False,11.8,7.9,8.1
False,8.8,7.4,7.8
False,8.8,7.4,7.8
False,8.8,7.4,7.8
False,4.8,6.1,6.3
False,4.8,6.1,6.3
False,4.8,6.1,6.3
False,2.8,6.5,6.9
False,2.8,6.5,6.9
False,15.3,6.6,7.3
False,15.3,6.6,7.3
False,15.3,6.6,7.3
False,15.3,6.6,7.3
True,25.4,7.4,7.9
False,25.4,7.4,7.9
False,25.4,7.4,7.9
False,25.4,7.4,7.9
False,9.0,7.0,7.4
True,7.3,6.8,7.4
False,13.1,7.3,7.5
True,24.9,7.9,7.9
True,24.9,7.9,7.9
False,24.9,7.9,7.9
False,24.9,7.9,7.9
False,27.2,6.6,6.7
False,43.6,7.8,8.0
False,43.6,7.8,8.0
False,43.6,7.8,8.0
True,43.6,7.8,8.0
True,43.6,7.8,8.0
True,43.6,7.8,8.0
True,43.6,7.8,8.0
True,4.7,6.7,6.8
False,19.5,7.2,7.5
False,19.5,7.2,7.5
False,19.5,7.2,7.5
True,19.5,7.2,7.5
False,9.7,6.8,7.3
False,5.3,7.0,7.4
False,5.3,7.0,7.4
True,25.8,7.4,7.4
False,25.8,7.4,7.4
False,25.8,7.4,7.4
True,9.3,6.7,7.0
False,9.3,6.7,7.0
False,9.3,6.7,7.0
True,9.3,6.7,7.0
False,29.1,8.1,8.4
False,29.1,8.1,8.4
False,29.1,8.1,8.4
False,11.5,6.7,6.9
False,6.1,5.8,6.1
False,4.3,7.3,7.2
False,8.8,6.6,7.3
False,10.3,7.8,8.0
False,10.3,7.8,8.0
False,10.3,7.8,8.0
True,17.7,7.5,8.0
False,8.6,7.5,7.9
False,8.6,7.5,7.9
False,7.5,7.0,7.2
False,7.5,7.0,7.2
False,7.5,7.0,7.2
False,23.1,7.3,7.5
True,23.1,7.3,7.5
False,23.1,7.3,7.5
False,63.9,8.3,8.1
False,63.9,8.3,8.1
False,63.9,8.3,8.1
True,63.9,8.3,8.1
False,2.6,6.9,7.2
False,2.6,6.9,7.2
False,2.6,6.9,7.2
False,2.6,6.9,7.2
False,3.6,6.7,7.2
False,13.6,7.3,7.3
False,14.2,7.3,7.7
False,14.2,7.3,7.7
True,7.6,6.5,6.8
False,4.1,6.8,6.5
False,6.2,7.0,7.5
False,6.2,7.0,7.5
False,6.2,7.0,7.5
False,4.0,6.4,6.9
False,14.4,6.1,6.2
False,14.4,6.1,6.2
False,2.5,5.9,6.5
False,14.0,6.8,7.0
False,8.8,6.9,7.2
True,3.7,5.1,6.1
False,3.7,5.1,6.1
False,45.5,7.4,7.9
False,45.5,7.4,7.9
False,8.3,6.3,6.5
False,3.6,5.8,6.3
False,9.2,7.9,8.0
False,9.2,7.9,8.0
True,9.2,7.9,8.0
True,69.6,8.2,8.5
False,69.6,8.2,8.5
False,69.6,8.2,8.5
True,69.6,8.2,8.5
False,19.4,7.8,7.9
False,19.4,7.8,7.9
False,12.1,6.2,6.2
False,12.1,6.2,6.2
False,28.6,7.5,7.9
True,28.6,7.5,7.9
False,28.6,7.5,7.9
False,28.6,7.5,7.9
False,6.6,7.1,7.7
False,6.6,7.1,7.7
False,6.6,7.1,7.7
False,6.6,7.1,7.7
False,19.9,7.8,8.0
False,19.9,7.8,8.0
False,19.9,7.8,8.0
False,19.9,7.8,8.0
True,19.9,7.8,8.0
False,33.1,7.1,7.2
False,33.1,7.1,7.2
False,24.1,7.5,7.7
False,20.0,8.1,8.3
False,20.0,8.1,8.3
False,20.0,8.1,8.3
False,20.0,8.1,8.3
False,15.7,7.2,7.5
False,15.7,7.2,7.5
False,15.7,7.2,7.5
False,15.7,7.2,7.5
False,15.7,7.2,7.5
False,2.5,6.0,6.4
False,4.2,6.3,7.4
True,10.3,7.3,7.6
False,10.3,7.3,7.6
False,9.2,6.4,6.8
False,33.7,8.1,8.4
False,33.7,8.1,8.4
False,33.7,8.1,8.4
False,0.9,6.0,6.5
False,3.4,6.4,5.9
False,3.4,6.4,5.9
False,23.2,6.7,6.6
True,23.2,6.7,6.6
False,16.9,7.4,7.5
False,16.9,7.4,7.5
False,16.9,7.4,7.5
False,22.0,7.2,7.3
False,22.0,7.2,7.3
True,22.0,7.2,7.3
True,22.0,7.2,7.3
True,22.0,7.2,7.3
False,8.1,6.4,7.0
False,8.1,6.4,7.0
False,10.6,6.3,6.7
False,10.6,6.3,6.7
True,130.7,7.8,8.0
False,130.7,7.8,8.0
False,130.7,7.8,8.0
False,225.8,8.2,8.5
False,225.8,8.2,8.5
