Year,Category,Film,Film_ID,Nominee,Winner,TMDb_ID,Popularity,Vote_Count,Vote_Average,Genres,Director,IMDb_Rating
1957,Best Supporting Actor,Sayonara,tt0050933,Red Buttons,TRUE,40885,9.755,129,6.6,"Drama, Romance, War",Joshua Logan,7
1957,Best Supporting Actress,Sayonara,tt0050933,Miyoshi Umeki,TRUE,40885,9.755,129,6.6,"Drama, Romance, War",Joshua Logan,7
1957,Best Cinematography,Sayonara,tt0050933,Ellsworth Fredricks,FALSE,40885,9.755,129,6.6,"Drama, Romance, War",Joshua Logan,7
1957,Best Director,Sayonara,tt0050933,Joshua Logan,FALSE,40885,9.755,129,6.6,"Drama, Romance, War",Joshua Logan,7
1957,Best Picture,Sayonara,tt0050933,"William Goetz, Producer",FALSE,40885,9.755,129,6.6,"Drama, Romance, War",Joshua Logan,7
1975,Best Adapted Screenplay,Scent of a Woman,tt0072037,"Ruggero Maccari, Dino Risi",FALSE,47848,7.992,245,7.5,"Drama, Romance, War",Dino Risi,7.6
1992,Best Actor,Scent of a Woman,tt0105323,Al Pacino,TRUE,9475,43.867,3468,7.789,Drama,Martin Brest,8
1992,Best Director,Scent of a Woman,tt0105323,Martin Brest,FALSE,9475,43.867,3468,7.789,Drama,Martin Brest,8
1992,Best Picture,Scent of a Woman,tt0105323,"Martin Brest, Producer",FALSE,9475,43.867,3468,7.789,Drama,Martin Brest,8
1992,Best Adapted Screenplay,Scent of a Woman,tt0105323,Bo Goldman,FALSE,9475,43.867,3468,7.789,Drama,Martin Brest,8
1993,Best Actor,Schindler's List,tt0108052,Liam Neeson,FALSE,424,108.119,16099,8.567,"Biography, Drama, History",Steven Spielberg,9
1993,Best Supporting Actor,Schindler's List,tt0108052,Ralph Fiennes,FALSE,424,108.119,16099,8.567,"Biography, Drama, History",Steven Spielberg,9
1993,Best Cinematography,Schindler's List,tt0108052,Janusz Kaminski,TRUE,424,108.119,16099,8.567,"Biography, Drama, History",Steven Spielberg,9
1993,Best Director,Schindler's List,tt0108052,Steven Spielberg,TRUE,424,108.119,16099,8.567,"Biography, Drama, History",Steven Spielberg,9
1993,Best Picture,Schindler's List,tt0108052,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",TRUE,424,108.119,16099,8.567,"Biography, Drama, History",Steven Spielberg,9
1993,Best Adapted Screenplay,Schindler's List,tt0108052,Steven Zaillian,TRUE,424,108.119,16099,8.567,"Biography, Drama, History",Steven Spielberg,9
2003,Best Cinematography,Seabiscuit,tt0329575,John Schwartzman,FALSE,4464,13.896,835,7.051,"Drama, History, Sport",Gary Ross,7.3
2003,Best Picture,Seabiscuit,tt0329575,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",FALSE,4464,13.896,835,7.051,"Drama, History, Sport",Gary Ross,7.3
2003,Best Adapted Screenplay,Seabiscuit,tt0329575,Written for the Screen by Gary Ross,FALSE,4464,13.896,835,7.051,"Drama, History, Sport",Gary Ross,7.3
1964,Best Actress,Seance on a Wet Afternoon,tt0058557,Kim Stanley,FALSE,3092,7.931,105,7.2,"Drama, Thriller",Bryan Forbes,7.8
1993,Best Cinematography,Searching for Bobby Fischer,tt0108065,Conrad L. Hall,FALSE,14291,23.136,572,7.1,"Biography, Drama, Sport",Steven Zaillian,7.4
1966,Best Cinematography,Seconds,tt0060955,James Wong Howe,FALSE,20620,14.475,362,7.29,"Drama, Sci-Fi, Thriller",John Frankenheimer,7.6
1996,Best Actress,Secrets & Lies,tt0117589,Brenda Blethyn,FALSE,11159,12.215,655,7.5,"Comedy, Drama",Mike Leigh,8
1996,Best Supporting Actress,Secrets & Lies,tt0117589,Marianne Jean-Baptiste,FALSE,11159,12.215,655,7.5,"Comedy, Drama",Mike Leigh,8
1996,Best Director,Secrets & Lies,tt0117589,Mike Leigh,FALSE,11159,12.215,655,7.5,"Comedy, Drama",Mike Leigh,8
1996,Best Picture,Secrets & Lies,tt0117589,"Simon Channing-Williams, Producer",FALSE,11159,12.215,655,7.5,"Comedy, Drama",Mike Leigh,8
1996,Best Original Screenplay,Secrets & Lies,tt0117589,Mike Leigh,FALSE,11159,12.215,655,7.5,"Comedy, Drama",Mike Leigh,8
2014,Best Picture,Selma,tt1020072,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers",FALSE,273895,14.173,2197,7.394,"Biography, Drama, History",Ava DuVernay,7.5
1995,Best Actress,Sense and Sensibility,tt0114388,Emma Thompson,FALSE,4584,48.097,1694,7.425,"Drama, Romance",Ang Lee,7.7
1995,Best Supporting Actress,Sense and Sensibility,tt0114388,Kate Winslet,FALSE,4584,48.097,1694,7.425,"Drama, Romance",Ang Lee,7.7
1995,Best Cinematography,Sense and Sensibility,tt0114388,Michael Coulter,FALSE,4584,48.097,1694,7.425,"Drama, Romance",Ang Lee,7.7
1995,Best Picture,Sense and Sensibility,tt0114388,"Lindsay Doran, Producer",FALSE,4584,48.097,1694,7.425,"Drama, Romance",Ang Lee,7.7
1995,Best Adapted Screenplay,Sense and Sensibility,tt0114388,Emma Thompson,TRUE,4584,48.097,1694,7.425,"Drama, Romance",Ang Lee,7.7
1958,Best Actor,Separate Tables,tt0052182,David Niven,TRUE,43136,7.058,112,6.9,Drama,Delbert Mann,7.4
1958,Best Actress,Separate Tables,tt0052182,Deborah Kerr,FALSE,43136,7.058,112,6.9,Drama,Delbert Mann,7.4
1958,Best Supporting Actress,Separate Tables,tt0052182,Wendy Hiller,TRUE,43136,7.058,112,6.9,Drama,Delbert Mann,7.4
1958,Best Cinematography,Separate Tables,tt0052182,"Charles Lang, Jr.",FALSE,43136,7.058,112,6.9,Drama,Delbert Mann,7.4
1958,Best Picture,Separate Tables,tt0052182,"Harold Hecht, Producer",FALSE,43136,7.058,112,6.9,Drama,Delbert Mann,7.4
