IMDb_Rating,Popularity,Vote_Count,Vote_Average,Winner,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress
8.1,9.803,664,8.056,0,True,False,False,False,False,False,False,False,False
7.3,10.826,215,7.133,0,True,False,False,False,False,False,False,False,False
7.3,10.826,215,7.133,0,False,True,False,False,False,False,False,False,False
7.3,10.826,215,7.133,0,False,False,False,False,True,False,False,False,False
7.3,10.826,215,7.133,0,False,False,False,False,False,False,True,False,False
7.5,11.487,301,7.1,0,True,False,False,False,False,False,False,False,False
7.5,11.487,301,7.1,0,False,True,False,False,False,False,False,False,False
6.2,8.594,222,6.0,0,False,False,False,True,False,False,False,False,False
7.6,38.213,11704,7.499,0,True,False,False,False,False,False,False,False,False
7.6,38.213,11704,7.499,0,False,False,False,False,False,False,False,True,False
7.6,38.213,11704,7.499,0,False,True,False,False,False,False,False,False,False
7.6,38.213,11704,7.499,0,False,False,False,True,False,False,False,False,False
7.6,38.213,11704,7.499,0,False,False,False,False,False,False,True,False,False
7.6,38.213,11704,7.499,0,False,False,True,False,False,False,False,False,False
7.9,18.206,1366,7.6,0,True,False,False,False,False,False,False,False,False
7.9,18.206,1366,7.6,1,False,False,False,False,False,False,False,True,False
7.9,18.206,1366,7.6,1,False,True,False,False,False,False,False,False,False
7.9,18.206,1366,7.6,1,False,False,False,False,False,False,False,False,True
7.9,18.206,1366,7.6,0,False,False,False,True,False,False,False,False,False
7.9,18.206,1366,7.6,0,False,False,False,False,True,False,False,False,False
7.9,18.206,1366,7.6,0,False,False,False,False,False,False,True,False,False
7.8,7.4,67,6.806,0,False,False,False,False,False,False,True,False,False
7.3,1.933,28,7.1,1,False,False,False,False,False,False,False,True,False
7.3,1.933,28,7.1,0,False,False,False,False,False,False,True,False,False
6.5,5.729,58,6.1,1,False,True,False,False,False,False,False,False,False
6.5,5.729,58,6.1,0,False,False,False,False,False,False,True,False,False
8.0,8.636,94,7.569,1,False,False,False,False,False,False,False,True,False
7.6,14.072,1213,7.33,0,False,False,False,True,False,False,False,False,False
8.2,14.629,494,7.8,0,False,True,False,False,False,False,False,False,False
8.2,14.629,494,7.8,0,False,False,False,False,True,False,False,False,False
7.3,1.812,22,7.0,0,True,False,False,False,False,False,False,False,False
7.3,1.812,22,7.0,0,False,False,False,True,False,False,False,False,False
7.1,17.52,2223,6.686,0,False,False,True,False,False,False,False,False,False
7.2,11.276,1240,6.84,0,True,False,False,False,False,False,False,False,False
7.2,11.276,1240,6.84,0,False,False,False,False,False,False,False,False,True
6.9,9.209,217,6.6,0,True,False,False,False,False,False,False,False,False
6.9,9.209,217,6.6,0,False,False,False,False,False,False,False,False,True
6.9,9.209,217,6.6,0,False,False,False,False,False,True,False,False,False
7.7,13.897,2510,7.354,0,True,False,False,False,False,False,False,False,False
7.7,13.897,2510,7.354,1,False,False,False,False,False,False,False,True,False
7.7,13.897,2510,7.354,0,False,False,False,False,False,False,False,False,True
7.7,13.897,2510,7.354,0,False,False,True,False,False,False,False,False,False
6.7,7.389,83,6.151,0,True,False,False,False,False,False,False,False,False
6.9,8.386,272,6.305,0,True,False,False,False,False,False,False,False,False
6.9,8.386,272,6.305,1,False,False,False,False,False,False,False,True,False
6.0,4.223,33,5.97,0,False,True,False,False,False,False,False,False,False
7.6,36.483,1459,7.652,0,True,False,False,False,False,False,False,False,False
6.6,7.784,130,6.2,0,False,True,False,False,False,False,False,False,False
6.6,7.784,130,6.2,0,False,False,False,False,False,False,False,False,True
7.0,5.287,56,6.4,0,False,False,False,True,False,False,False,False,False
7.0,5.287,56,6.4,0,False,False,False,False,False,True,False,False,False
6.6,13.442,395,6.418,1,False,False,False,False,False,False,False,False,True
6.6,13.442,395,6.418,0,False,False,False,False,False,False,False,False,True
6.6,13.442,395,6.418,0,False,False,False,True,False,False,False,False,False
6.6,13.442,395,6.418,0,False,False,False,False,False,False,True,False,False
6.7,12.836,471,6.3,0,False,True,False,False,False,False,False,False,False
6.7,12.836,471,6.3,0,False,False,False,False,False,False,False,False,True
6.8,3.521,27,6.6,0,False,False,False,False,False,False,True,False,False
7.0,7.867,207,6.5,0,True,False,False,False,False,False,False,False,False
7.0,7.867,207,6.5,0,False,False,False,False,False,False,False,False,True
7.0,7.867,207,6.5,0,False,False,False,False,False,False,True,False,False
6.6,4.032,37,6.3,0,True,False,False,False,False,False,False,False,False
6.6,4.032,37,6.3,0,False,False,False,False,False,False,False,True,False
6.6,4.032,37,6.3,0,False,False,False,True,False,False,False,False,False
6.7,17.042,1726,6.758,0,True,False,False,False,False,False,False,False,False
6.7,17.042,1726,6.758,0,False,False,False,False,False,False,False,True,False
5.7,1.388,19,5.9,0,True,False,False,False,False,False,False,False,False
5.7,1.388,19,5.9,0,False,False,False,False,False,False,True,False,False
6.6,10.212,309,6.4,0,False,False,False,False,False,True,False,False,False
6.9,4.026,53,6.7,0,False,True,False,False,False,False,False,False,False
6.9,4.026,53,6.7,0,False,False,False,False,False,False,True,False,False
7.3,9.883,465,7.0,1,False,True,False,False,False,False,False,False,False
7.3,9.883,465,7.0,0,False,False,False,False,False,False,False,False,True
7.3,9.883,465,7.0,0,False,False,False,False,False,True,False,False,False
6.3,7.202,68,6.2,0,False,False,False,False,True,False,False,False,False
8.4,80.292,9910,7.95,0,False,True,False,False,False,False,False,False,False
8.2,17.733,1550,8.089,1,False,False,False,False,False,False,False,True,False
8.2,17.733,1550,8.089,0,False,True,False,False,False,False,False,False,False
8.2,17.733,1550,8.089,0,False,True,False,False,False,False,False,False,False
8.2,17.733,1550,8.089,0,False,False,False,False,False,False,False,False,True
8.2,17.733,1550,8.089,0,False,False,False,False,False,False,False,False,True
8.2,17.733,1550,8.089,0,False,False,False,True,False,False,False,False,False
8.2,17.733,1550,8.089,1,False,False,False,False,True,False,False,False,False
8.2,17.733,1550,8.089,1,False,False,False,False,False,False,True,False,False
8.1,19.264,812,7.8,0,False,False,False,True,False,False,False,False,False
8.1,19.264,812,7.8,1,False,False,False,False,True,False,False,False,False
8.1,19.264,812,7.8,1,False,False,False,False,False,False,True,False,False
7.8,67.757,4007,7.724,1,False,False,False,True,False,False,False,False,False
7.8,67.757,4007,7.724,0,False,False,False,False,False,False,True,False,False
7.8,67.757,4007,7.724,0,False,False,True,False,False,False,False,False,False
7.8,12.554,513,7.5,0,True,False,False,False,False,False,False,False,False
7.8,12.554,513,7.5,0,False,False,False,True,False,False,False,False,False
7.8,12.554,513,7.5,0,False,False,False,False,True,False,False,False,False
