Year,Popularity,Vote_Count,Vote_Average,IMDb_Rating
1956,11.856,521,6.6,6.7
1956,11.856,521,6.6,6.7
1956,11.856,521,6.6,6.7
2016,77.01,17926,7.608,7.9
2016,77.01,17926,7.608,7.9
2016,77.01,17926,7.608,7.9
2016,77.01,17926,7.608,7.9
1931,3.852,26,6.5,6.2
1931,3.852,26,6.5,6.2
1981,12.03,431,6.5,6.9
1981,12.03,431,6.5,6.9
1981,12.03,431,6.5,6.9
1997,24.545,3800,7.39,7.7
1997,24.545,3800,7.39,7.7
1997,24.545,3800,7.39,7.7
1997,24.545,3800,7.39,7.7
1997,24.545,3800,7.39,7.7
2018,16.308,1465,6.948,6.9
1981,10.171,271,6.779,7.3
1981,10.171,271,6.779,7.3
1981,10.171,271,6.779,7.3
1981,10.171,271,6.779,7.3
1981,10.171,271,6.779,7.3
2007,33.435,4258,7.64,7.8
2007,33.435,4258,7.64,7.8
2007,33.435,4258,7.64,7.8
2007,33.435,4258,7.64,7.8
1987,13.568,661,7.503,8.0
2013,11.363,1489,6.9,7.2
2013,11.363,1489,6.9,7.2
1958,8.041,110,7.005,8.0
1958,8.041,110,7.005,8.0
1958,8.041,110,7.005,8.0
1958,8.041,110,7.005,8.0
1978,12.099,614,8.0,8.1
1978,12.099,614,8.0,8.1
1990,5.179,83,6.608,7.2
1990,5.179,83,6.608,7.2
2009,135.26,31823,7.584,7.9
2009,135.26,31823,7.584,7.9
2009,135.26,31823,7.584,7.9
2022,170.067,12198,7.612,7.5
1990,35.718,2567,7.775,7.8
1990,35.718,2567,7.775,7.8
1990,35.718,2567,7.775,7.8
2007,10.742,223,6.996,7.5
2007,10.742,223,6.996,7.5
1995,30.399,2902,6.235,6.9
1995,30.399,2902,6.235,6.9
1995,30.399,2902,6.235,6.9
1995,30.399,2902,6.235,6.9
2006,19.227,3765,7.177,7.5
2006,19.227,3765,7.177,7.5
2006,19.227,3765,7.177,7.5
2006,19.227,3765,7.177,7.5
2006,19.227,3765,7.177,7.5
1939,3.214,40,6.4,6.3
1956,8.676,123,7.1,7.3
1956,8.676,123,7.1,7.3
1956,8.676,123,7.1,7.3
1956,8.676,123,7.1,7.3
1985,79.181,20179,8.3,8.5
1931,2.302,31,5.9,6.4
1931,2.302,31,5.9,6.4
1941,8.752,208,7.38,7.7
1961,9.169,198,8.0,8.0
1973,4.934,64,6.1,6.9
1935,4.643,28,6.554,6.8
2023,109.25,9491,6.99,6.8
2023,109.25,9491,6.99,6.8
2023,109.25,9491,6.99,6.8
2023,109.25,9491,6.99,6.8
2022,12.426,226,6.916,6.7
1967,8.978,566,7.1,7.0
1975,26.265,2851,8.001,8.1
1975,26.265,2851,8.001,8.1
1975,26.265,2851,8.001,8.1
1975,26.265,2851,8.001,8.1
1991,13.782,1683,7.458,7.6
2005,59.506,21163,7.7,8.2
1995,28.583,5203,5.437,5.4
1949,9.807,88,6.7,7.4
1949,9.807,88,6.7,7.4
1949,9.807,88,6.7,7.4
1949,9.807,88,6.7,7.4
2012,12.625,1060,6.8,7.2
2012,12.625,1060,6.8,7.2
2012,12.625,1060,6.8,7.2
2012,12.625,1060,6.8,7.2
1939,6.194,98,6.959,7.5
1991,99.42,10018,7.73,8.0
1964,7.799,183,7.1,7.8
1964,7.799,183,7.1,7.8
1964,7.799,183,7.1,7.8
1964,7.799,183,7.1,7.8
1964,7.799,183,7.1,7.8
1964,7.799,183,7.1,7.8
1935,2.386,19,5.6,5.8
2013,15.634,2415,7.5,7.9
2000,10.035,274,6.6,7.1
2004,23.824,3419,7.8,8.1
2011,9.326,1043,6.8,7.2
1999,26.372,4398,7.4,7.7
1999,26.372,4398,7.4,7.7
1999,26.372,4398,7.4,7.7
2004,10.337,111,6.464,7.0
2021,11.035,635,6.5,6.5
2021,11.035,635,6.5,6.5
2021,11.035,635,6.5,6.5
1979,13.551,995,7.622,8.0
1979,13.551,995,7.622,8.0
2021,17.871,1504,7.081,7.2
2021,17.871,1504,7.081,7.2
2021,17.871,1504,7.081,7.2
2021,17.871,1504,7.081,7.2
2021,17.871,1504,7.081,7.2
1959,57.206,2795,7.872,8.1
1959,57.206,2795,7.872,8.1
1959,57.206,2795,7.872,8.1
1959,57.206,2795,7.872,8.1
1959,57.206,2795,7.872,8.1
1953,4.944,30,5.8,5.7
1932,1.357,14,5.6,6.5
1983,2.814,20,6.0,6.9
1984,29.912,4203,7.2,7.4
1988,26.899,3666,7.2,7.3
1988,26.899,3666,7.2,7.3
1962,5.42,67,7.3,7.8
2000,20.034,3852,7.593,7.7
2000,20.034,3852,7.593,7.7
2000,20.034,3852,7.593,7.7
1941,2.931,19,4.7,5.7
1962,15.802,302,7.5,7.8
1962,15.802,302,7.5,7.8
1962,15.802,302,7.5,7.8
1962,15.802,302,7.5,7.8
2014,35.672,12870,7.461,7.7
2014,35.672,12870,7.461,7.7
2014,35.672,12870,7.461,7.7
2014,35.672,12870,7.461,7.7
2014,35.672,12870,7.461,7.7
2014,35.672,12870,7.461,7.7
2014,35.672,12870,7.461,7.7
1940,1.786,5,5.8,5.7
2010,11.622,1108,7.2,7.4
1935,4.124,21,6.4,6.4
2001,53.98,5788,7.386,7.7
2001,53.98,5788,7.386,7.7
1947,12.814,479,7.529,7.7
2018,84.06,22332,7.377,7.3
2022,80.182,6632,7.079,6.7
2010,61.749,14584,7.7,8.0
2010,61.749,14584,7.7,8.0
2010,61.749,14584,7.7,8.0
2010,61.749,14584,7.7,8.0
1955,9.849,150,6.9,7.4
2018,20.806,7558,7.503,7.5
2018,20.806,7558,7.503,7.5
2018,20.806,7558,7.503,7.5
2018,20.806,7558,7.503,7.5
2017,153.489,13825,7.571,8.0
1989,3.447,60,6.233,6.0
1974,21.245,1884,7.238,7.7
2022,24.637,1366,6.0,5.5
1941,6.049,57,6.4,6.8
2006,36.37,7674,7.544,8.0
2006,36.37,7674,7.544,8.0
1978,1.633,25,5.86,6.2
1941,3.934,31,6.5,6.9
1941,3.934,31,6.5,6.9
1966,11.943,1251,7.3,7.5
1966,11.943,1251,7.3,7.5
2013,14.023,3441,7.0,7.3
2013,14.023,3441,7.0,7.3
2013,14.023,3441,7.0,7.3
1994,11.824,131,6.1,6.4
2010,37.852,3258,7.0,7.3
1986,38.243,3364,7.6,7.7
1969,10.735,94,6.2,6.9
1969,10.735,94,6.2,6.9
1969,10.735,94,6.2,6.9
1947,6.688,104,6.731,7.6
1947,6.688,104,6.731,7.6
2018,49.995,16951,7.982,7.9
2018,49.995,16951,7.982,7.9
2019,19.243,2999,6.8,6.8
2019,19.243,2999,6.8,6.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1967,23.922,1630,7.489,7.8
1997,24.708,3171,7.638,7.9
1997,24.708,3171,7.638,7.9
1997,24.708,3171,7.638,7.9
1940,5.159,52,6.923,7.0
2006,22.4,5432,6.8,7.4
2020,24.992,2566,6.4,6.6
2020,24.992,2566,6.4,6.6
1989,16.82,1703,7.011,7.2
1989,16.82,1703,7.011,7.2
1989,16.82,1703,7.011,7.2
1989,16.82,1703,7.011,7.2
1989,16.82,1703,7.011,7.2
1950,9.544,166,7.235,7.5
1950,9.544,166,7.235,7.5
1950,9.544,166,7.235,7.5
1976,5.501,73,6.8,7.3
