Winner,Category,Genres,Director,Popularity
True,Best Supporting Actress,"Action, Drama, Thriller","George Seaton, Henry Hathaway",13.4
False,Best Supporting Actress,"Action, Drama, Thriller","George Seaton, Henry Hathaway",13.4
False,Best Cinematography,"Action, Drama, Thriller","George Seaton, Henry Hathaway",13.4
False,Best Picture,"Action, Drama, Thriller","George Seaton, Henry Hathaway",13.4
False,Best Actress,"Drama, Romance",Rodrigo García,12.8
False,Best Supporting Actress,"Drama, Romance",Rodrigo García,12.8
False,Best Picture,"Drama, Music, Musical",Henry King,3.5
False,Best Actor,"Drama, Romance",Lewis Gilbert,7.9
False,Best Supporting Actress,"Drama, Romance",Lewis Gilbert,7.9
False,Best Picture,"Drama, Romance",Lewis Gilbert,7.9
False,Best Actor,"Drama, Mystery, Romance",John Cromwell,4.0
False,Best Supporting Actor,"Drama, Mystery, Romance",John Cromwell,4.0
False,Best Cinematography,"Drama, Mystery, Romance",John Cromwell,4.0
False,Best Actor,"Biography, Drama, Sport",Michael Mann,17.0
False,Best Supporting Actor,"Biography, Drama, Sport",Michael Mann,17.0
False,Best Actor,"Action, Crime, Romance",Roland West,1.4
False,Best Picture,"Action, Crime, Romance",Roland West,1.4
False,Best Original Screenplay,"Comedy, Romance",Woody Allen,10.2
False,Best Actress,"Comedy, Drama, Romance",George Stevens,4.0
False,Best Picture,"Comedy, Drama, Romance",George Stevens,4.0
True,Best Actress,"Drama, Romance",Martin Scorsese,9.9
False,Best Supporting Actress,"Drama, Romance",Martin Scorsese,9.9
False,Best Original Screenplay,"Drama, Romance",Martin Scorsese,9.9
False,Best Director,"Comedy, Drama, Music",Arthur Penn,7.2
False,Best Actress,"Action, Adventure, Sci-Fi",James Cameron,80.3
True,Best Supporting Actor,Drama,Joseph L. Mankiewicz,17.7
False,Best Actress,Drama,Joseph L. Mankiewicz,17.7
False,Best Actress,Drama,Joseph L. Mankiewicz,17.7
False,Best Supporting Actress,Drama,Joseph L. Mankiewicz,17.7
False,Best Supporting Actress,Drama,Joseph L. Mankiewicz,17.7
False,Best Cinematography,Drama,Joseph L. Mankiewicz,17.7
True,Best Director,Drama,Joseph L. Mankiewicz,17.7
True,Best Picture,Drama,Joseph L. Mankiewicz,17.7
False,Best Cinematography,"Drama, War",Lewis Milestone,19.3
True,Best Director,"Drama, War",Lewis Milestone,19.3
True,Best Picture,"Drama, War",Lewis Milestone,19.3
True,Best Cinematography,"Drama, History, War",Edward Berger,67.8
False,Best Picture,"Drama, History, War",Edward Berger,67.8
False,Best Adapted Screenplay,"Drama, History, War",Edward Berger,67.8
False,Best Actor,"Drama, Music, Musical",Bob Fosse,12.6
False,Best Cinematography,"Drama, Music, Musical",Bob Fosse,12.6
False,Best Director,"Drama, Music, Musical",Bob Fosse,12.6
False,Best Picture,"Drama, Music, Musical",Bob Fosse,12.6
False,Best Original Screenplay,"Drama, Music, Musical",Bob Fosse,12.6
False,Best Actor,"Drama, Fantasy, Romance",William Dieterle,4.9
False,Best Cinematography,"Adventure, Drama, Romance",Richard Thorpe,3.0
True,Best Actor,"Drama, Film-Noir",Robert Rossen,9.2
False,Best Supporting Actor,"Drama, Film-Noir",Robert Rossen,9.2
True,Best Supporting Actress,"Drama, Film-Noir",Robert Rossen,9.2
False,Best Director,"Drama, Film-Noir",Robert Rossen,9.2
True,Best Picture,"Drama, Film-Noir",Robert Rossen,9.2
False,Best Supporting Actor,"Crime, Drama, History",Ridley Scott,16.3
True,Best Supporting Actor,"Biography, Drama, History",Alan J. Pakula,16.0
False,Best Supporting Actress,"Biography, Drama, History",Alan J. Pakula,16.0
False,Best Director,"Biography, Drama, History",Alan J. Pakula,16.0
False,Best Picture,"Biography, Drama, History",Alan J. Pakula,16.0
False,Best Supporting Actress,"Drama, Romance",Anatole Litvak,8.7
False,Best Cinematography,"Drama, Romance",Anatole Litvak,8.7
False,Best Picture,"Drama, Romance",Anatole Litvak,8.7
False,Best Supporting Actress,"Adventure, Comedy, Drama",Cameron Crowe,30.7
False,Best Supporting Actress,"Adventure, Comedy, Drama",Cameron Crowe,30.7
True,Best Original Screenplay,"Adventure, Comedy, Drama",Cameron Crowe,30.7
False,Best Cinematography,Drama,Alfred Santell,1.4
True,Best Actor,"Biography, Drama, Music",Milos Forman,28.9
False,Best Actor,"Biography, Drama, Music",Milos Forman,28.9
False,Best Cinematography,"Biography, Drama, Music",Milos Forman,28.9
True,Best Director,"Biography, Drama, Music",Milos Forman,28.9
True,Best Picture,"Biography, Drama, Music",Milos Forman,28.9
True,Best Adapted Screenplay,"Biography, Drama, Music",Milos Forman,28.9
False,Best Director,"Comedy, Drama",Federico Fellini,11.4
False,Best Original Screenplay,"Comedy, Drama",Federico Fellini,11.4
False,Best Cinematography,"Comedy, Romance",Jean-Pierre Jeunet,56.5
False,Best Original Screenplay,"Comedy, Romance",Jean-Pierre Jeunet,56.5
False,Best Director,Drama,Elia Kazan,6.3
False,Best Picture,Drama,Elia Kazan,6.3
False,Best Original Screenplay,Drama,Elia Kazan,6.3
True,Best Actor,Drama,Sam Mendes,33.1
False,Best Actress,Drama,Sam Mendes,33.1
True,Best Cinematography,Drama,Sam Mendes,33.1
True,Best Director,Drama,Sam Mendes,33.1
True,Best Picture,Drama,Sam Mendes,33.1
True,Best Original Screenplay,Drama,Sam Mendes,33.1
False,Best Actor,"Comedy, Drama",Cord Jefferson,16.3
False,Best Supporting Actor,"Comedy, Drama",Cord Jefferson,16.3
False,Best Picture,"Comedy, Drama",Cord Jefferson,16.3
True,Best Adapted Screenplay,"Comedy, Drama",Cord Jefferson,16.3
False,Best Supporting Actress,"Biography, Crime, Drama",Ridley Scott,33.7
False,Best Supporting Actress,"Comedy, Drama",Cord Jefferson,26.3
False,Best Director,"Comedy, Drama, Music",George Lucas,26.3
False,Best Picture,"Comedy, Drama, Music",George Lucas,26.3
False,Best Actor,"Crime, Drama",Tony Kaye,30.9
False,Best Actor,"Crime, Drama",David O. Russell,25.9
False,Best Supporting Actor,"Crime, Drama",David O. Russell,25.9
False,Best Actress,"Crime, Drama",David O. Russell,25.9
False,Best Supporting Actress,"Crime, Drama",David O. Russell,25.9
False,Best Director,"Crime, Drama",David O. Russell,25.9
False,Best Picture,"Crime, Drama",David O. Russell,25.9
False,Best Original Screenplay,"Crime, Drama",David O. Russell,25.9
False,Best Actor,"Action, Biography, Drama",Clint Eastwood,60.6
False,Best Picture,"Action, Biography, Drama",Clint Eastwood,60.6
False,Best Adapted Screenplay,"Action, Biography, Drama",Clint Eastwood,60.6
False,Best Adapted Screenplay,"Biography, Comedy, Drama","Shari Springer Berman, Robert Pulcini",6.1
False,Best Supporting Actor,"Biography, Drama, History",Steven Spielberg,3.0
False,Best Cinematography,"Biography, Drama, History",Steven Spielberg,3.0
False,Best Actress,Drama,Michael Haneke,15.6
False,Best Director,Drama,Michael Haneke,15.6
False,Best Picture,Drama,Michael Haneke,15.6
False,Best Original Screenplay,Drama,Michael Haneke,15.6
False,Best Cinematography,"Comedy, Drama, Music",George Lucas,13.7
True,Best Cinematography,"Drama, Musical, Romance",Vincente Minnelli,12.2
False,Best Director,"Drama, Musical, Romance",Vincente Minnelli,12.2
True,Best Picture,"Drama, Musical, Romance",Vincente Minnelli,12.2
False,Best Actress,Drama,Lone Scherfig,13.0
False,Best Picture,Drama,Lone Scherfig,13.0
False,Best Adapted Screenplay,Drama,Lone Scherfig,13.0
True,Best Supporting Actor,"Drama, Romance",Taylor Hackford,27.9
False,Best Actress,"Drama, Romance",Taylor Hackford,27.9
False,Best Original Screenplay,"Drama, Romance",Taylor Hackford,27.9
False,Best Actress,"Drama, Romance",Leo McCarey,4.6
False,Best Picture,"Drama, Romance",Paul Mazursky,4.6
False,Best Original Screenplay,"Drama, Romance",Paul Mazursky,4.6
True,Best Actress,"Drama, Romance",Paul Mazursky,8.8
False,Best Actress,"Crime, Drama, Thriller",Justine Triet,52.1
False,Best Director,"Crime, Drama, Thriller",Justine Triet,52.1
False,Best Picture,"Crime, Drama, Thriller",Justine Triet,52.1
True,Best Original Screenplay,"Crime, Drama, Thriller",Justine Triet,52.1
False,Best Actor,"Biography, Drama, History",Anatole Litvak,21.0
False,Best Supporting Actor,"Crime, Drama, Mystery",Otto Preminger,21.0
False,Best Supporting Actor,"Crime, Drama, Mystery",Otto Preminger,21.0
False,Best Cinematography,"Crime, Drama, Mystery",Otto Preminger,21.0
False,Best Picture,"Crime, Drama, Mystery",Otto Preminger,21.0
False,Best Actor,"Comedy, Fantasy, Musical","George Sidney, Joseph Barbera, William Hanna",9.2
False,Best Cinematography,"Comedy, Fantasy, Musical","George Sidney, Joseph Barbera, William Hanna",9.2
False,Best Picture,"Comedy, Fantasy, Musical","George Sidney, Joseph Barbera, William Hanna",9.2
False,Best Original Screenplay,"Crime, Drama, Mystery",Otto Preminger,2.0
False,Best Original Screenplay,"Adventure, Comedy, Crime","Ben Hecht, Lee Garmes",2.5
False,Best Actor,"Crime, Drama, Film-Noir",Michael Curtiz,10.2
False,Best Director,"Crime, Drama, Film-Noir",Michael Curtiz,10.2
False,Best Supporting Actress,"Crime, Drama, Thriller",David Michôd,14.3
False,Best Actress,Drama,Yurek Bogayevicz,1.6
False,Best Supporting Actress,"Biography, Drama, Romance",John Cromwell,5.2
True,Best Cinematography,"Biography, Drama, Romance",John Cromwell,5.2
False,Best Actress,"Drama, Romance",Clarence Brown,5.1
False,Best Cinematography,"Drama, Romance",Clarence Brown,5.1
False,Best Director,"Drama, Romance",Clarence Brown,5.1
False,Best Cinematography,"Drama, Romance",Joe Wright,23.9
False,Best Actor,"Drama, Romance",Claude Lelouch,12.6
False,Best Supporting Actor,"Biography, Drama, History",Charles Jarrott,12.6
False,Best Actress,"Biography, Drama, History",Charles Jarrott,12.6
False,Best Cinematography,"Biography, Drama, History",Charles Jarrott,12.6
False,Best Picture,"Biography, Drama, History",Charles Jarrott,12.6
False,Best Cinematography,"Comedy, Musical, Romance","George Sidney, Busby Berkeley",7.4
False,Best Actor,"Comedy, Romance",Woody Allen,18.1
True,Best Actress,"Comedy, Romance",Woody Allen,18.1
True,Best Director,"Comedy, Romance",Woody Allen,18.1
True,Best Picture,"Comedy, Romance",Woody Allen,18.1
True,Best Original Screenplay,"Comedy, Romance",Woody Allen,18.1
False,Best Supporting Actor,"Comedy, Drama, Romance",Sean Baker,768.0
False,Best Actress,"Comedy, Drama, Romance",Sean Baker,768.0
False,Best Director,"Comedy, Drama, Romance",Sean Baker,768.0
False,Best Picture,"Comedy, Drama, Romance",Sean Baker,768.0
False,Best Original Screenplay,"Comedy, Drama, Romance",Sean Baker,768.0
False,Best Director,Drama,Thomas Vinterberg,21.3
False,Best Original Screenplay,"Comedy, Drama",Mike Leigh,8.5
True,Best Supporting Actress,"Adventure, Drama, Romance","Mervyn LeRoy, Michael Curtiz",2.8
True,Best Cinematography,"Adventure, Drama, Romance","Mervyn LeRoy, Michael Curtiz",2.8
