IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
8.4,25.272,3404,8.3,False,False,False,False,False,True,False,False,False,0
7.5,8.146,96,7.4,False,False,False,False,True,False,False,False,False,1
7.7,50.911,7032,7.789,False,False,False,False,False,False,True,False,False,0
7.3,18.319,291,6.8,False,False,True,False,False,False,False,False,False,0
8.9,167.562,25533,8.418,False,False,False,False,False,False,False,True,False,0
7.9,13.437,607,7.691,True,False,False,False,False,False,False,False,False,1
8.1,191.374,115,5.6,False,False,False,False,False,False,False,False,True,0
8.6,38.366,4419,8.3,False,False,False,False,False,False,True,False,False,0
7.1,4.173,42,6.667,True,False,False,False,False,False,False,False,False,0
7.8,56.122,16583,7.45,False,False,False,False,False,False,True,False,False,0
6.6,51.075,4633,7.072,False,False,False,False,False,False,False,True,False,0
8.3,81.386,26061,8.142,False,False,False,True,False,False,False,False,False,0
7.3,23.466,1843,7.2,False,False,False,False,False,True,False,False,False,0
6.7,3.909,49,6.3,False,False,False,False,False,False,True,False,False,0
6.7,8.904,382,6.4,False,False,False,False,False,False,False,False,True,1
6.7,7.455,128,6.355,False,True,False,False,False,False,False,False,False,0
6.7,12.836,471,6.3,False,False,False,False,False,False,False,False,True,0
6.5,16.657,1649,6.8,False,True,False,False,False,False,False,False,False,0
6.6,8.059,51,6.4,False,False,False,True,False,False,False,False,False,0
7.2,9.481,320,6.9,True,False,False,False,False,False,False,False,False,0
7.0,13.514,590,6.987,False,False,True,False,False,False,False,False,False,0
7.0,7.131,89,6.5,True,False,False,False,False,False,False,False,False,0
8.3,81.848,12535,8.2,False,False,False,False,False,False,True,False,False,0
8.1,147.701,20831,7.807,True,False,False,False,False,False,False,False,False,0
7.5,9.717,263,7.243,False,False,False,False,True,False,False,False,False,0
7.3,7.947,229,6.9,False,False,False,False,False,False,False,True,False,0
7.6,3.886,44,6.7,False,True,False,False,False,False,False,False,False,0
8.2,32.04,3231,8.117,False,False,True,False,False,False,False,False,False,1
6.3,3.64,22,5.8,False,False,False,False,False,True,False,False,False,0
7.5,5.993,255,7.2,False,False,False,True,False,False,False,False,False,1
7.9,28.637,1155,7.5,False,False,False,False,False,False,True,False,False,0
7.2,10.192,188,6.8,False,False,False,False,False,False,False,True,False,0
7.8,18.066,1423,7.5,False,False,False,False,True,False,False,False,False,1
7.0,11.392,168,6.577,False,False,False,True,False,False,False,False,False,0
7.8,7.799,183,7.1,False,False,False,False,False,False,True,False,False,0
6.7,3.909,49,6.3,False,False,False,False,True,False,False,False,False,0
8.2,40.07,6703,8.1,False,False,True,False,False,False,False,False,False,0
7.5,23.555,2525,7.648,False,False,False,False,False,False,False,False,True,0
7.7,38.389,12028,7.143,False,False,False,False,False,False,False,True,False,0
7.1,15.645,412,7.087,False,False,False,True,False,False,False,False,False,0
8.1,30.898,8157,7.86,False,False,False,False,False,True,False,False,False,1
