IMDb_Rating,Popularity,Vote_Average,Category,Winner
8.6,38.4,8.3,4,0
7.2,9.1,6.6,4,0
7.0,5.5,6.1,4,0
6.0,1.5,6.4,8,0
8.2,25.7,7.8,0,0
8.4,24.3,8.3,8,0
7.7,10.7,7.3,0,1
7.0,5.7,6.7,0,0
7.8,25.3,7.4,6,1
8.3,29.4,8.0,6,0
7.1,27.9,7.0,5,1
7.8,12.2,7.5,4,0
7.5,10.7,7.0,7,0
7.5,21.7,7.3,2,0
7.5,14.4,7.1,5,0
8.3,29.2,8.0,0,0
8.2,7.7,7.8,4,0
8.0,11.0,7.7,4,0
7.8,12.2,7.5,2,0
7.8,14.3,7.3,5,1
7.7,23.9,7.4,2,0
6.5,3.5,5.9,0,0
8.1,33.6,8.0,7,0
9.2,176.2,8.7,1,0
7.3,18.3,6.8,8,0
6.4,3.1,5.5,4,0
7.6,4.9,7.0,4,0
8.1,27.3,8.1,5,1
6.7,11.5,6.6,0,0
8.3,22.9,8.2,1,1
7.1,3.8,6.3,8,0
7.2,13.6,7.0,1,0
6.9,24.7,6.8,7,0
7.5,4.0,7.6,4,0
9.3,177.9,8.7,2,0
7.1,7.9,6.6,0,0
7.2,2.5,7.1,6,0
7.8,7.8,7.1,5,0
6.0,14.6,5.8,0,0
8.2,29.8,7.9,4,0
7.8,18.1,7.5,6,0
7.1,13.1,6.9,0,0
7.0,10.8,6.6,6,0
7.8,8.3,7.3,4,0
7.0,14.3,7.2,0,0
8.7,40.8,8.4,8,1
7.9,18.2,7.6,6,1
7.0,23.9,6.8,7,0
7.4,9.2,7.0,1,0
7.4,21.6,7.2,6,1
6.6,18.7,6.4,3,0
7.2,13.0,6.8,4,0
7.7,6.3,6.9,1,0
6.9,4.2,6.5,2,0
8.0,61.7,7.7,1,0
7.0,5.3,6.6,8,0
6.3,3.3,6.0,4,0
7.7,52.1,7.5,2,0
7.3,18.3,6.8,0,0
7.0,9.3,6.7,3,1
6.8,3.6,6.4,0,0
6.7,7.8,6.7,8,0
6.9,1.4,6.5,0,0
7.6,6.9,7.2,4,0
7.6,9.8,7.2,2,0
7.1,21.3,7.1,5,0
7.9,34.0,7.7,3,0
6.4,9.0,6.2,0,1
6.6,13.4,6.4,2,0
7.9,44.5,7.4,7,0
7.3,15.3,6.6,2,0
7.2,8.2,6.8,1,0
5.6,4.4,5.2,0,0
6.8,15.1,6.7,2,0
7.2,12.6,6.8,7,0
7.3,37.1,7.2,2,1
7.8,38.9,7.5,4,1
8.1,22.9,7.9,0,1
7.4,14.8,7.1,8,0
8.0,12.7,7.7,8,0
7.2,7.2,6.9,0,0
7.4,26.8,7.2,5,0
7.6,10.9,7.2,8,1
7.7,6.1,6.8,6,0
8.3,93.3,8.0,3,0
7.4,14.8,7.1,5,1
7.4,10.5,7.0,8,0
7.0,4.3,6.9,3,0
8.2,29.6,8.0,0,0
8.1,27.3,8.1,8,1
7.0,5.3,6.4,0,0
8.2,17.7,8.1,6,0
7.8,26.7,7.7,1,0
7.2,10.2,7.2,0,0
7.4,13.3,6.9,6,0
7.2,17.1,6.8,2,0
8.0,36.0,7.9,7,1
6.2,1.9,5.3,0,0
6.8,13.8,6.6,6,0
6.6,4.9,6.1,1,0
7.1,12.4,6.9,6,1
7.2,2.6,6.9,5,0
7.3,7.8,7.0,4,0
7.8,25.3,7.4,2,0
7.2,5.6,7.2,8,0
7.4,8.9,7.2,3,1
8.2,183.2,8.2,2,0
7.5,62.0,7.2,5,0
6.8,30.6,6.5,3,0
6.4,15.6,6.4,8,1
7.8,37.6,7.4,5,0
5.9,19.0,6.2,0,0
7.4,4.2,6.3,3,0
