IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.0,9.304,130.0,6.7,False,False,False,False,True,False,False,False,False,0.0
7.5,19.306,2179.0,7.203,False,False,False,False,True,False,False,False,False,0.0
6.7,4.08,24.0,5.6,False,False,False,False,False,True,False,False,False,
8.1,63.938,11427.0,8.3,True,False,False,False,False,False,False,False,False,0.0
7.0,7.26,98.0,6.7,True,False,False,False,False,False,False,False,False,0.0
7.9,9.745,400.0,7.6,False,True,False,False,False,False,False,False,False,0.0
8.3,10.948,417.0,8.1,False,False,False,False,False,True,False,False,False,1.0
7.2,17.08,764.0,6.956,False,False,False,False,True,False,False,False,False,1.0
7.3,20.957,1634.0,7.316,False,False,False,False,True,False,False,False,False,0.0
7.4,8.208,523.0,7.112,False,False,False,False,False,False,True,False,False,0.0
8.3,81.848,12535.0,8.2,False,False,False,False,True,False,False,False,False,0.0
7.0,4.681,21.0,6.7,False,False,False,True,False,False,False,False,False,
6.8,1.397,6.0,6.9,True,False,False,False,False,False,False,False,False,
7.3,13.03,378.0,7.0,True,False,False,False,False,False,False,False,False,
7.6,9.235,111.0,7.0,False,False,False,False,False,False,False,True,False,
8.3,17.961,1756.0,7.9,False,False,False,False,False,True,False,False,False,0.0
7.7,53.98,5788.0,7.386,False,False,False,False,True,False,False,False,False,0.0
7.2,19.547,2633.0,7.1,False,False,False,False,False,False,False,False,True,0.0
6.2,6.865,108.0,5.81,False,False,True,False,False,False,False,False,False,0.0
7.0,22.718,435.0,6.99,False,False,False,True,False,False,False,False,False,1.0
8.0,12.215,655.0,7.5,False,False,False,False,False,False,False,False,True,0.0
7.6,4.801,55.0,6.7,False,False,False,False,False,False,False,True,False,0.0
7.6,9.235,111.0,7.0,False,False,False,False,False,False,False,False,True,
