Winner,Category,Genres,Director,Vote_Count,Popularity
False,6,203,547,68,4.636
False,5,203,547,68,4.636
True,1,203,547,174,8.769
False,1,142,405,2611,52.118
False,4,142,405,2611,52.118
False,6,142,405,2611,52.118
True,5,142,405,2611,52.118
False,0,76,27,1008,20.979
False,7,140,538,1008,20.979
False,7,140,538,1008,20.979
False,3,140,538,1008,20.979
False,6,140,538,1008,20.979
False,0,112,244,157,9.245
False,3,112,244,157,9.245
False,6,112,244,157,9.245
False,5,140,538,18,1.972
False,5,35,60,28,2.504
False,0,136,491,319,10.193
False,4,136,491,319,10.193
False,8,142,156,826,14.255
False,1,149,767,12,1.581
False,8,80,359,36,5.189
True,3,80,359,36,5.189
False,1,203,117,49,5.087
False,3,203,117,49,5.087
False,4,203,117,49,5.087
False,3,203,348,2287,23.883
False,0,203,119,117,12.635
False,7,76,104,117,12.635
False,1,76,104,117,12.635
False,3,76,104,117,12.635
False,6,76,104,117,12.635
False,3,121,243,77,7.424
False,0,125,764,3911,18.062
True,1,125,764,3911,18.062
True,4,125,764,3911,18.062
True,6,125,764,3911,18.062
True,5,125,764,3911,18.062
False,7,102,665,913,768.016
False,1,102,665,913,768.016
False,4,102,665,913,768.016
False,6,102,665,913,768.016
False,5,102,665,913,768.016
False,4,149,713,3303,21.295
False,5,95,505,390,8.504
True,8,51,485,30,2.773
True,3,51,485,30,2.773
False,6,51,485,30,2.773
False,7,199,203,8322,61.249
True,3,199,203,8322,61.249
False,4,199,203,8322,61.249
False,6,199,203,8322,61.249
False,2,199,203,8322,61.249
False,7,48,641,5445,35.272
False,8,48,641,5445,35.272
False,6,48,641,5445,35.272
False,2,48,641,5445,35.272
False,3,2,376,48,5.262
False,7,76,59,8314,27.233
True,6,76,59,8314,27.233
True,2,76,59,8314,27.233
False,3,102,511,17,2.328
False,3,15,238,2,1.197
True,3,37,486,521,11.856
False,4,37,486,521,11.856
True,6,37,486,521,11.856
True,2,37,486,521,11.856
False,3,197,165,17926,77.01
False,4,197,165,17926,77.01
False,6,197,165,17926,77.01
False,2,197,165,17926,77.01
False,3,149,364,26,3.852
False,6,149,364,26,3.852
False,0,125,690,431,12.03
True,7,125,690,431,12.03
False,5,125,690,431,12.03
True,0,102,320,3800,24.545
False,7,102,320,3800,24.545
True,1,102,320,3800,24.545
False,6,102,320,3800,24.545
False,5,102,320,3800,24.545
False,0,76,402,1465,16.308
False,0,141,452,271,10.171
False,1,141,452,271,10.171
False,4,141,452,271,10.171
False,6,141,452,271,10.171
False,5,141,452,271,10.171
False,8,196,348,4258,33.435
False,3,196,348,4258,33.435
False,6,196,348,4258,33.435
False,2,196,348,4258,33.435
False,5,223,452,661,13.568
False,1,95,382,1489,11.363
False,8,95,382,1489,11.363
False,1,102,513,110,8.041
False,8,102,513,110,8.041
False,3,102,513,110,8.041
False,6,102,513,110,8.041
False,1,188,292,614,12.099
False,5,188,292,614,12.099
False,3,149,56,83,5.179
False,5,149,56,83,5.179
True,3,5,316,31823,135.26
False,4,5,316,31823,135.26
False,6,5,316,31823,135.26
False,6,5,316,12198,170.067
False,0,74,554,2567,35.718
False,6,74,554,2567,35.718
False,2,74,554,2567,35.718
False,1,149,662,223,10.742
