Popularity,Vote_Average,IMDb_Rating,Genres,Director
10.4,7.0,7.3,212,268
10.4,7.1,7.6,187,358
50.0,8.0,7.9,77,91
3.0,6.7,7.0,121,191
14.7,7.4,7.7,149,18
24.2,7.0,7.2,76,695
22.0,7.2,7.3,95,88
61.7,7.7,8.0,218,145
2.1,5.6,6.5,77,404
24.1,7.7,8.1,76,709
7.7,7.8,8.2,136,482
17.9,7.1,7.2,80,414
5.9,6.5,6.8,113,758
9.8,5.6,5.8,225,752
5.2,4.5,4.6,203,736
5.8,7.2,7.7,149,344
12.5,7.4,7.5,77,534
21.1,7.5,7.6,73,9
13.7,7.5,8.0,83,212
4.7,6.2,6.2,80,87
62.0,7.2,7.5,142,59
10.8,6.6,7.3,30,538
6.1,6.8,7.2,149,435
24.3,8.3,8.4,168,72
6.3,6.6,7.1,3,364
4.2,5.5,5.6,118,737
56.5,7.9,8.3,125,337
77.9,8.2,8.4,54,579
20.5,7.2,7.4,75,245
15.1,7.1,7.4,76,230
5.1,6.2,6.6,203,117
6.3,7.0,7.5,102,373
17.7,8.1,8.2,149,394
18.6,7.1,7.6,142,694
9.3,6.8,7.2,102,506
61.2,8.3,8.4,199,203
41.9,7.6,7.8,73,475
27.9,7.0,7.1,203,705
9.4,6.7,7.0,74,178
13.2,6.7,7.1,74,757
40.8,8.4,8.7,202,509
7.1,6.2,6.3,51,205
17.9,7.0,7.2,203,475
17.5,7.7,7.9,170,21
17.7,8.1,8.2,149,394
6.1,6.3,7.1,149,419
7.4,6.8,7.8,175,309
148.8,8.2,8.5,3,609
7.9,6.9,7.3,125,173
28.9,8.0,8.4,77,509
24.8,7.1,7.1,27,353
17.8,7.0,7.2,149,622
2.9,5.9,6.7,77,745
8.0,7.0,8.0,102,513
112.6,8.6,9.0,134,203
7.9,6.6,7.1,45,215
17.3,7.7,7.9,222,218
23.9,7.4,7.7,95,473
9.2,7.0,7.6,79,276
17.5,7.7,7.9,170,21
14.0,7.0,7.3,102,764
11.9,7.8,8.1,203,197
18.0,7.1,7.4,203,428
8.6,7.1,7.6,136,359
32.0,8.1,8.2,194,202
14.0,6.7,7.0,95,192
3.0,5.9,6.6,141,179
7.1,6.3,7.5,203,673
24.0,7.2,7.4,76,670
