Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
8.7,6.7,7.0,"Drama, Thriller",Euzhan Palcy,False
9.3,6.2,6.4,"Drama, Romance, War",Frank Borzage,True
9.3,6.2,6.4,"Drama, Romance, War",Frank Borzage,False
9.7,5.7,5.9,"Drama, Romance, War","Charles Vidor, John Huston",False
37.1,7.5,7.7,"Drama, Thriller",Rob Reiner,False
37.1,7.5,7.7,"Drama, Thriller",Rob Reiner,False
19.3,7.2,7.5,"Comedy, Crime","Charles Crichton, John Cleese",True
19.3,7.2,7.5,"Comedy, Crime","Charles Crichton, John Cleese",False
19.3,7.2,7.5,"Comedy, Crime","Charles Crichton, John Cleese",False
10.4,7.1,7.3,"Comedy, Drama, Romance",Billy Wilder,False
4.9,6.1,6.6,"Crime, Drama, Romance",Clarence Brown,True
4.9,6.1,6.6,"Crime, Drama, Romance",Clarence Brown,False
4.9,6.1,6.6,"Crime, Drama, Romance",Clarence Brown,False
13.9,7.3,7.5,"Comedy, Music",Richard Lester,False
2.6,6.8,7.2,Drama,Fred Zinnemann,False
28.1,7.2,7.4,"Action, Crime, Drama",David Cronenberg,False
28.1,7.2,7.4,"Action, Crime, Drama",David Cronenberg,False
6.8,7.2,7.7,"Comedy, Drama, Romance",Joseph L. Mankiewicz,True
6.8,7.2,7.7,"Comedy, Drama, Romance",Joseph L. Mankiewicz,False
17.9,7.6,7.6,"Drama, Family, Fantasy",Alfonso Cuarón,False
6.0,6.8,7.5,"Adventure, Comedy, Romance",George Roy Hill,False
1.4,5.7,6.7,"Comedy, Romance",Mervyn LeRoy,False
7.7,7.3,7.5,"Drama, Romance, Sport",Claude Lelouch,False
7.7,7.3,7.5,"Drama, Romance, Sport",Claude Lelouch,False
7.7,7.3,7.5,"Drama, Romance, Sport",Claude Lelouch,True
1.9,6.4,7.1,"Biography, Drama",Henry Koster,False
10.7,7.3,7.7,"Biography, Drama, History",Fred Zinnemann,True
10.7,7.3,7.7,"Biography, Drama, History",Fred Zinnemann,False
10.7,7.3,7.7,"Biography, Drama, History",Fred Zinnemann,False
10.7,7.3,7.7,"Biography, Drama, History",Fred Zinnemann,True
10.7,7.3,7.7,"Biography, Drama, History",Fred Zinnemann,True
10.7,7.3,7.7,"Biography, Drama, History",Fred Zinnemann,True
1.4,4.5,6.1,"Comedy, Drama, Romance",Irving Pichel,False
5.9,6.5,6.8,"Comedy, Fantasy, Romance","William Dieterle, Max Reinhardt",True
5.9,6.5,6.8,"Comedy, Fantasy, Romance","William Dieterle, Max Reinhardt",False
18.3,6.8,7.3,"Adventure, Drama, History",David Lean,False
18.3,6.8,7.3,"Adventure, Drama, History",David Lean,True
18.3,6.8,7.3,"Adventure, Drama, History",David Lean,False
18.3,6.8,7.3,"Adventure, Drama, History",David Lean,False
18.3,6.8,7.3,"Adventure, Drama, History",David Lean,False
18.3,6.8,7.3,"Adventure, Drama, History",David Lean,False
8.8,7.6,8.0,Drama,Guy Green,False
8.8,7.6,8.0,Drama,Guy Green,True
