Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
768.0,7.0,7.8,102,665,False
21.3,7.6,7.7,149,713,False
8.5,7.0,7.4,95,505,False
2.8,5.7,6.3,51,485,True
2.8,5.7,6.3,51,485,True
2.8,5.7,6.3,51,485,False
61.2,8.3,8.4,199,203,False
61.2,8.3,8.4,199,203,True
61.2,8.3,8.4,199,203,False
61.2,8.3,8.4,199,203,False
61.2,8.3,8.4,199,203,False
35.3,7.4,7.7,48,641,False
35.3,7.4,7.7,48,641,False
35.3,7.4,7.7,48,641,False
35.3,7.4,7.7,48,641,False
5.3,5.9,6.1,2,376,False
27.2,7.3,7.7,76,59,False
27.2,7.3,7.7,76,59,True
27.2,7.3,7.7,76,59,True
2.3,6.1,6.8,102,511,False
1.2,6.0,5.7,15,238,False
11.9,6.6,6.7,37,486,True
11.9,6.6,6.7,37,486,False
11.9,6.6,6.7,37,486,True
11.9,6.6,6.7,37,486,True
77.0,7.6,7.9,197,165,False
77.0,7.6,7.9,197,165,False
77.0,7.6,7.9,197,165,False
77.0,7.6,7.9,197,165,False
3.9,6.5,6.2,149,364,False
3.9,6.5,6.2,149,364,False
12.0,6.5,6.9,125,690,False
12.0,6.5,6.9,125,690,True
12.0,6.5,6.9,125,690,False
24.5,7.4,7.7,102,320,True
24.5,7.4,7.7,102,320,False
24.5,7.4,7.7,102,320,True
24.5,7.4,7.7,102,320,False
24.5,7.4,7.7,102,320,False
16.3,6.9,6.9,76,402,False
10.2,6.8,7.3,141,452,False
10.2,6.8,7.3,141,452,False
10.2,6.8,7.3,141,452,False
10.2,6.8,7.3,141,452,False
10.2,6.8,7.3,141,452,False
33.4,7.6,7.8,196,348,False
33.4,7.6,7.8,196,348,False
33.4,7.6,7.8,196,348,False
33.4,7.6,7.8,196,348,False
13.6,7.5,8.0,223,452,False
11.4,6.9,7.2,95,382,False
11.4,6.9,7.2,95,382,False
8.0,7.0,8.0,102,513,False
8.0,7.0,8.0,102,513,False
8.0,7.0,8.0,102,513,False
8.0,7.0,8.0,102,513,False
12.1,8.0,8.1,188,292,False
12.1,8.0,8.1,188,292,False
5.2,6.6,7.2,149,56,False
5.2,6.6,7.2,149,56,False
135.3,7.6,7.9,5,316,True
135.3,7.6,7.9,5,316,False
135.3,7.6,7.9,5,316,False
170.1,7.6,7.5,5,316,False
35.7,7.8,7.8,74,554,False
35.7,7.8,7.8,74,554,False
35.7,7.8,7.8,74,554,False
10.7,7.0,7.5,149,662,False
10.7,7.0,7.5,149,662,False
30.4,6.2,6.9,96,112,False
30.4,6.2,6.9,96,112,False
30.4,6.2,6.9,96,112,False
30.4,6.2,6.9,96,112,False
19.2,7.2,7.5,149,13,False
19.2,7.2,7.5,149,13,False
19.2,7.2,7.5,149,13,False
19.2,7.2,7.5,149,13,False
19.2,7.2,7.5,149,13,False
3.2,6.4,6.3,119,93,False
8.7,7.1,7.3,210,186,False
8.7,7.1,7.3,210,186,False
8.7,7.1,7.3,210,186,False
8.7,7.1,7.3,210,186,False
79.2,8.3,8.5,41,631,False
2.3,5.9,6.4,203,205,True
2.3,5.9,6.4,203,205,False
8.8,7.4,7.7,125,286,False
9.2,8.0,8.0,212,262,False
4.9,6.1,6.9,217,362,False
4.6,6.6,6.8,51,286,False
109.2,7.0,6.8,38,261,False
109.2,7.0,6.8,38,261,False
109.2,7.0,6.8,38,261,False
109.2,7.0,6.8,38,261,False
12.4,6.9,6.7,95,13,False
9.0,7.1,7.0,125,228,False
26.3,8.0,8.1,48,684,True
26.3,8.0,8.1,48,684,False
26.3,8.0,8.1,48,684,False
26.3,8.0,8.1,48,684,False
13.8,7.5,7.6,105,350,False
59.5,7.7,8.2,21,116,False
28.6,5.4,5.4,0,351,False
9.8,6.7,7.4,23,754,False
9.8,6.7,7.4,23,754,True
9.8,6.7,7.4,23,754,False
