Year,Category,Film,Film_ID,Nominee,Winner,TMDb_ID,Popularity,Vote_Count,Vote_Average,Genres,Director,IMDb_Rating
1954,Best Supporting Actor,On the Waterfront,tt0047296,Karl Malden,False,654,22.899,1591,7.9,,Elia Kazan,8.1
1954,Best Supporting Actor,On the Waterfront,tt0047296,Rod Steiger,False,654,22.899,1591,7.9,,Elia Kazan,8.1
1954,Best Supporting Actress,On the Waterfront,tt0047296,Eva Marie Saint,True,654,22.899,1591,7.9,,Elia Kazan,8.1
1954,Best Cinematography,On the Waterfront,tt0047296,Boris Kaufman,True,654,22.899,1591,7.9,,Elia Kazan,8.1
1954,Best Director,On the Waterfront,tt0047296,Elia Kazan,True,654,22.899,1591,7.9,,Elia Kazan,8.1
1954,Best Picture,On the Waterfront,tt0047296,"Sam Spiegel, Producer",True,654,22.899,1591,7.9,,Elia Kazan,8.1
2019,Best Actor,Once upon a Time...in Hollywood,tt7131622,Leonardo DiCaprio,False,466272,63.654,13610,7.433,,Quentin Tarantino,7.6
2019,Best Supporting Actor,Once upon a Time...in Hollywood,tt7131622,Brad Pitt,True,466272,63.654,13610,7.433,,Quentin Tarantino,7.6
2019,Best Cinematography,Once upon a Time...in Hollywood,tt7131622,Robert Richardson,False,466272,63.654,13610,7.433,,Quentin Tarantino,7.6
2019,Best Director,Once upon a Time...in Hollywood,tt7131622,Quentin Tarantino,False,466272,63.654,13610,7.433,,Quentin Tarantino,7.6
2019,Best Picture,Once upon a Time...in Hollywood,tt7131622,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",False,466272,63.654,13610,7.433,,Quentin Tarantino,7.6
2019,Best Original Screenplay,Once upon a Time...in Hollywood,tt7131622,Written by Quentin Tarantino,False,466272,63.654,13610,7.433,,Quentin Tarantino,7.6
1975,Best Actor,One Flew over the Cuckoo's Nest,tt0073486,Jack Nicholson,True,510,40.769,10569,8.414,,Milos Forman,8.7
1975,Best Supporting Actor,One Flew over the Cuckoo's Nest,tt0073486,Brad Dourif,False,510,40.769,10569,8.414,,Milos Forman,8.7
1975,Best Actress,One Flew over the Cuckoo's Nest,tt0073486,Louise Fletcher,True,510,40.769,10569,8.414,,Milos Forman,8.7
1975,Best Cinematography,One Flew over the Cuckoo's Nest,tt0073486,"Haskell Wexler, Bill Butler",False,510,40.769,10569,8.414,,Milos Forman,8.7
1975,Best Director,One Flew over the Cuckoo's Nest,tt0073486,Milos Forman,True,510,40.769,10569,8.414,,Milos Forman,8.7
1975,Best Picture,One Flew over the Cuckoo's Nest,tt0073486,"Saul Zaentz and Michael Douglas, Producers",True,510,40.769,10569,8.414,,Milos Forman,8.7
1975,Best Adapted Screenplay,One Flew over the Cuckoo's Nest,tt0073486,"Lawrence Hauben, Bo Goldman",True,510,40.769,10569,8.414,,Milos Forman,8.7
1931,Best Picture,One Hour with You,tt0023303,Paramount Publix,False,43145,4.194,72,6.486,,"George Cukor, Ernst Lubitsch",7.0
1937,Best Picture,One Hundred Men and a Girl,tt0029347,Universal,False,61647,1.433,24,6.354,,Henry Koster,6.7
2020,Best Supporting Actor,One Night in Miami...,tt10612922,"Leslie Odom, Jr.",False,661914,14.119,641,7.019,,Regina King,7.1
2020,Best Adapted Screenplay,One Night in Miami...,tt10612922,Screenplay by Kemp Powers,False,661914,14.119,641,7.019,,Regina King,7.1
1934,Best Actress,One Night of Love,tt0025601,Grace Moore,False,84097,4.232,15,5.5,,Victor Schertzinger,5.6
1934,Best Director,One Night of Love,tt0025601,Victor Schertzinger,False,84097,4.232,15,5.5,,Victor Schertzinger,5.6
1934,Best Picture,One Night of Love,tt0025601,Columbia,False,84097,4.232,15,5.5,,Victor Schertzinger,5.6
1942,Best Original Screenplay,One of Our Aircraft Is Missing,tt0035153,"Michael Powell, Emeric Pressburger",False,43780,3.817,37,6.4,,"Michael Powell, Emeric Pressburger",7.0
1964,Best Original Screenplay,"One Potato, Two Potato",tt0058429,"Story by Orville H. Hampton; Screenplay by Raphael Hayes, Orville H. Hampton",False,143841,0.962,16,6.8,,Larry Peerce,7.4
1998,Best Actress,One True Thing,tt0120776,Meryl Streep,False,53113,12.724,129,6.496,,Carl Franklin,6.9
1961,Best Cinematography,One-Eyed Jacks,tt0055257,"Charles Lang, Jr.",False,18647,13.077,216,6.7,,Marlon Brando,7.1
1961,Best Cinematography,"One, Two, Three",tt0055256,Daniel L. Fapp,False,430,14.884,373,7.538,,Billy Wilder,7.9
1939,Best Cinematography,Only Angels Have Wings,tt0031762,Joseph Walker,False,43832,7.855,244,7.252,,Howard Hawks,7.6
1981,Best Supporting Actor,Only When I Laugh,tt0082853,James Coco,False,42146,2.363,17,6.0,,Glenn Jordan,6.4
1981,Best Actress,Only When I Laugh,tt0082853,Marsha Mason,False,42146,2.363,17,6.0,,Glenn Jordan,6.4
